DATE,XUDLGPD
03 Jan 1995,381
04 Jan 1995,376
05 Jan 1995,375
06 Jan 1995,375
09 Jan 1995,372
10 Jan 1995,374
11 Jan 1995,376
12 Jan 1995,381
13 Jan 1995,379
16 Jan 1995,378
17 Jan 1995,380
18 Jan 1995,383
19 Jan 1995,382
20 Jan 1995,384
23 Jan 1995,382
24 Jan 1995,381
25 Jan 1995,381
26 Jan 1995,381
27 Jan 1995,378
30 Jan 1995,376
31 Jan 1995,375
01 Feb 1995,376
02 Feb 1995,376
03 Feb 1995,376
06 Feb 1995,375
07 Feb 1995,375
08 Feb 1995,375
09 Feb 1995,377
10 Feb 1995,376
13 Feb 1995,375
14 Feb 1995,376
15 Feb 1995,377
16 Feb 1995,377
17 Feb 1995,378
20 Feb 1995,379
21 Feb 1995,379
22 Feb 1995,379
23 Feb 1995,380
24 Feb 1995,378
27 Feb 1995,376
28 Feb 1995,376
01 Mar 1995,376
02 Mar 1995,375
03 Mar 1995,377
06 Mar 1995,379
07 Mar 1995,379
08 Mar 1995,380
09 Mar 1995,381
10 Mar 1995,381
13 Mar 1995,386
14 Mar 1995,385
15 Mar 1995,386
16 Mar 1995,384
17 Mar 1995,383
20 Mar 1995,382
21 Mar 1995,383
22 Mar 1995,382
23 Mar 1995,383
24 Mar 1995,382
27 Mar 1995,382
28 Mar 1995,382
29 Mar 1995,383
30 Mar 1995,383
31 Mar 1995,392
03 Apr 1995,392
04 Apr 1995,392
05 Apr 1995,392
06 Apr 1995,393
07 Apr 1995,393
10 Apr 1995,389
11 Apr 1995,390
12 Apr 1995,390
13 Apr 1995,389
18 Apr 1995,393
19 Apr 1995,396
20 Apr 1995,393
21 Apr 1995,390
24 Apr 1995,391
25 Apr 1995,390
26 Apr 1995,389
27 Apr 1995,386
28 Apr 1995,390
01 May 1995,387
02 May 1995,389
03 May 1995,389
04 May 1995,390
05 May 1995,391
09 May 1995,388
10 May 1995,383
11 May 1995,384
12 May 1995,385
15 May 1995,384
16 May 1995,384
17 May 1995,383
18 May 1995,383
19 May 1995,383
22 May 1995,382
23 May 1995,382
24 May 1995,383
25 May 1995,386
26 May 1995,386
30 May 1995,386
31 May 1995,384
01 Jun 1995,384
02 Jun 1995,384
05 Jun 1995,383
06 Jun 1995,384
07 Jun 1995,386
08 Jun 1995,385
09 Jun 1995,386
12 Jun 1995,388
13 Jun 1995,387
14 Jun 1995,388
15 Jun 1995,389
16 Jun 1995,391
19 Jun 1995,391
20 Jun 1995,391
21 Jun 1995,391
22 Jun 1995,390
23 Jun 1995,389
26 Jun 1995,389
27 Jun 1995,389
28 Jun 1995,388
29 Jun 1995,387
30 Jun 1995,387
03 Jul 1995,385
04 Jul 1995,385
05 Jul 1995,384
06 Jul 1995,384
07 Jul 1995,386
10 Jul 1995,386
11 Jul 1995,385
12 Jul 1995,387
13 Jul 1995,389
14 Jul 1995,388
17 Jul 1995,388
18 Jul 1995,390
19 Jul 1995,390
20 Jul 1995,387
21 Jul 1995,386
24 Jul 1995,387
25 Jul 1995,387
26 Jul 1995,386
27 Jul 1995,386
28 Jul 1995,383
31 Jul 1995,383
01 Aug 1995,383
02 Aug 1995,383
03 Aug 1995,384
04 Aug 1995,384
07 Aug 1995,384
08 Aug 1995,385
09 Aug 1995,384
10 Aug 1995,384
11 Aug 1995,384
14 Aug 1995,384
15 Aug 1995,386
16 Aug 1995,382
17 Aug 1995,384
18 Aug 1995,385
21 Aug 1995,385
22 Aug 1995,384
23 Aug 1995,383
24 Aug 1995,384
25 Aug 1995,383
29 Aug 1995,383
30 Aug 1995,382
31 Aug 1995,382
01 Sep 1995,382
04 Sep 1995,380
05 Sep 1995,379
06 Sep 1995,380
07 Sep 1995,381
08 Sep 1995,382
11 Sep 1995,382
12 Sep 1995,383
13 Sep 1995,385
14 Sep 1995,385.1
15 Sep 1995,385
18 Sep 1995,385.4
19 Sep 1995,384.85
20 Sep 1995,384.5
21 Sep 1995,383.4
22 Sep 1995,383.5
25 Sep 1995,382.75
26 Sep 1995,383.8
27 Sep 1995,383.75
28 Sep 1995,383.5
29 Sep 1995,384
02 Oct 1995,383.25
03 Oct 1995,382.2
04 Oct 1995,382.5
05 Oct 1995,383.25
06 Oct 1995,383.05
09 Oct 1995,384.5
10 Oct 1995,385.1
11 Oct 1995,384.5
12 Oct 1995,384.45
13 Oct 1995,383.8
16 Oct 1995,383.85
17 Oct 1995,383.4
18 Oct 1995,383.65
19 Oct 1995,381.75
20 Oct 1995,381.75
23 Oct 1995,382.55
24 Oct 1995,382.5
25 Oct 1995,382.65
26 Oct 1995,382.9
27 Oct 1995,382.6
30 Oct 1995,382.15
31 Oct 1995,382.65
01 Nov 1995,381.95
02 Nov 1995,382.05
03 Nov 1995,382.55
06 Nov 1995,382.2
07 Nov 1995,384.8
08 Nov 1995,384.8
09 Nov 1995,385
10 Nov 1995,389.4
13 Nov 1995,388.3
14 Nov 1995,385.85
15 Nov 1995,385.3
16 Nov 1995,385.2
17 Nov 1995,386.35
20 Nov 1995,386
21 Nov 1995,386.3
22 Nov 1995,384.35
23 Nov 1995,382.8
24 Nov 1995,383.45
27 Nov 1995,385
28 Nov 1995,388.9
29 Nov 1995,388.5
30 Nov 1995,388
01 Dec 1995,386.2
04 Dec 1995,386
05 Dec 1995,386.55
06 Dec 1995,388.4
07 Dec 1995,387.8
08 Dec 1995,388.8
11 Dec 1995,389.6
12 Dec 1995,388.8
13 Dec 1995,387.6
14 Dec 1995,385.7
15 Dec 1995,386.2
18 Dec 1995,387.2
19 Dec 1995,388.1
20 Dec 1995,387.6
21 Dec 1995,388.05
22 Dec 1995,387.2
27 Dec 1995,387.05
28 Dec 1995,387
29 Dec 1995,386.7
02 Jan 1996,389.15
03 Jan 1996,393.4
04 Jan 1996,394.25
05 Jan 1996,395.9
08 Jan 1996,396.6
09 Jan 1996,394.55
10 Jan 1996,400
11 Jan 1996,399
12 Jan 1996,399.6
15 Jan 1996,395.55
16 Jan 1996,397.6
17 Jan 1996,397.7
18 Jan 1996,397.5
19 Jan 1996,399.1
22 Jan 1996,402.2
23 Jan 1996,403.65
24 Jan 1996,402.5
25 Jan 1996,406.6
26 Jan 1996,406.5
29 Jan 1996,404.5
30 Jan 1996,406.55
31 Jan 1996,405.55
01 Feb 1996,409.1
02 Feb 1996,414.5
05 Feb 1996,414.8
