Date,KMLMSIM_Return,NAV_10000
1988-01-04,-0.019119999999999998,9808.8
1988-01-05,-0.00292,9780.13
1988-01-06,-0.021869999999999997,9566.22
1988-01-07,-0.00462,9522.04
1988-01-08,0.009729999999999999,9614.72
1988-01-11,-0.023929999999999996,9384.68
1988-01-12,0.005849999999999999,9439.58
1988-01-13,0.0052,9488.63
1988-01-14,-0.00803,9412.4
1988-01-15,0.01141,9519.75
1988-01-18,0.0011799999999999998,9530.95
1988-01-19,0.00976,9623.93
1988-01-20,-0.013380000000000001,9495.12
1988-01-21,-0.0245,9262.51
1988-01-22,-0.00642,9203.07
1988-01-25,-0.01949,9023.72
1988-01-26,0.01365,9146.87
1988-01-27,-0.00494,9101.72
1988-01-28,-0.00525,9053.97
1988-01-29,0.0069,9116.47
1988-02-01,-0.01286,8999.21
1988-02-02,-0.01125,8897.97
1988-02-03,-0.00499,8853.6
1988-02-04,-0.00755,8786.75
1988-02-05,0.01807,8945.5
1988-02-08,-0.00607,8891.22
1988-02-09,-0.02572,8662.53
1988-02-10,-0.0078000000000000005,8594.99
1988-02-11,-0.0027,8571.75
1988-02-12,0.0219,8759.51
1988-02-16,0.0051600000000000005,8804.68
1988-02-17,-0.0028199999999999996,8779.85
1988-02-18,0.02334,8984.78
1988-02-19,0.01355,9106.55
1988-02-22,0.0023,9127.47
1988-02-23,0.01459,9260.62
1988-02-24,0.02281,9471.82
1988-02-25,-0.00528,9421.85
1988-02-26,0.00197,9440.44
1988-02-29,0.0033,9471.56
1988-03-01,0.00104,9481.45
1988-03-02,0.02342,9703.48
1988-03-03,-0.00383,9666.36
1988-03-04,-0.01829,9489.55
1988-03-07,-0.00344,9456.92
1988-03-08,0.00061,9462.73
1988-03-09,-0.013040000000000001,9339.36
1988-03-10,0.00783,9412.49
1988-03-11,0.00818,9489.44
1988-03-14,0.00741,9559.72
1988-03-15,-0.0137,9428.77
1988-03-16,-0.00319,9398.68
1988-03-17,0.01254,9516.56
1988-03-18,0.0096,9607.93
1988-03-21,-0.00636,9546.86
1988-03-22,-0.009250000000000001,9458.53
1988-03-23,-0.02153,9254.89
1988-03-24,0.0083,9331.68
1988-03-25,0.00532,9381.34
1988-03-28,-0.01047,9283.15
1988-03-29,0.00901,9366.81
1988-03-30,-0.00243,9344.02
1988-03-31,-0.00521,9295.32
1988-04-04,-0.00079,9287.99
1988-04-05,-0.013000000000000001,9167.21
1988-04-06,-0.00982,9077.15
1988-04-07,-0.0035399999999999997,9045.02
1988-04-08,0.00062,9050.66
1988-04-11,-0.0182,8885.91
1988-04-12,-0.0005600000000000001,8880.92
1988-04-13,0.00249,8903.03
1988-04-14,-0.01081,8806.83
