series,rows,start,end,nulls,duplicate_dates,min,max
ndx,7875,1995-01-03,2026-04-17,0,0,398.0,26672.4296875
cash_yield,7875,1995-01-03,2026-04-17,0,0,0.0,0.0642
tqqq_return,7875,1995-01-03,2026-04-17,0,0,-0.3446517012228005,0.5629004590728034
spy,7875,1995-01-03,2026-04-17,0,0,26.44381332397461,708.3152465820312
bond,7875,1995-01-03,2026-04-17,0,0,2.422635793685913,10.036093711853027
gld,7875,2004-11-18,2026-04-17,2489,0,41.2599983215332,495.8999938964844
gold_spot,7875,1995-01-03,2026-04-17,0,0,252.8,1895.0
kmlmsim_return,7875,1995-01-03,2026-04-17,0,0,-0.05673,0.07758
ndx_return,7875,1995-01-04,2026-04-17,1,0,-0.121932233772306,0.18771307886029476
bond_return,7875,1995-01-03,2026-04-17,0,0,-0.019793539639555213,0.025554896550217254
gld_return,7875,2004-11-19,2026-04-17,2490,0,-0.10274245274560034,0.11290530102327678
gold_spot_return,7875,1995-01-04,2026-04-17,1,0,-0.09150113969391083,0.08011049723756902
gold_return,7875,1995-01-03,2026-04-17,0,0,-0.10274245274560034,0.11290530102327678
cash_return,7875,1995-01-03,2026-04-17,0,0,0.0,0.00024694851525808303
defensive_return,7875,1995-01-03,2026-04-17,0,0,-0.0409227309582249,0.03933297304471504
defensive_rebalance_turnover,7875,1995-01-03,2026-04-17,0,0,1.854264779851955e-05,0.025782687890507805
