year,annual_return,complete_year
1996,0.8343878613137627,True
1997,0.7615833562871897,True
1998,1.334654419731046,True
1999,2.2085418148101095,True
2000,-0.27859538854047994,True
2001,0.03709045650476828,True
2002,0.08517898892944653,True
2003,1.3821857941121434,True
2004,0.13620409990546922,True
2005,-0.049836942161382236,True
2006,0.08913030834118474,True
2007,0.18826194958212739,True
2008,0.20629506174697054,True
2009,1.3505340888101567,True
2010,0.23372397670895695,True
2011,0.07097519138013952,True
2012,0.5228695775765473,True
2013,1.3973341234426861,True
2014,0.570908293769264,True
2015,-0.2568450514044197,True
2016,0.08043917234032483,True
2017,1.1806179685418834,True
2018,0.20532877221812096,True
2019,0.5946770968111939,True
2020,0.9882882196120784,True
2021,0.8298131140963454,True
2022,-0.28017416120155114,True
2023,0.7249336405890832,True
2024,0.5826772248162537,True
2025,0.09898547851326245,True
2026,-0.07129995128262956,False
