ma_window,vol_window,vol_threshold,tolerance,min_delay_cagr,mean_delay_cagr,worst_max_drawdown,worst_dotcom_drawdown
150,40,0.32,0.03,0.41195425197017665,0.414017528706345,-0.5986999094008929,-0.37077900806222064
151,38,0.31,0.03,0.4118748734919506,0.41210501748842476,-0.5986999094008925,-0.23101357618880647
150,38,0.31,0.03,0.4103488103037525,0.4125134761567584,-0.5986999094008928,-0.23101357618880614
151,40,0.32,0.03,0.40961578273386845,0.4136144268253237,-0.5986999094008931,-0.37077900806222075
151,41,0.31,0.03,0.4094130943453378,0.4148915623364786,-0.5986999094008928,-0.2310135761888068
147,41,0.31,0.03,0.4080156744887877,0.408821864884215,-0.5986999094008925,-0.23101357618880636
148,41,0.31,0.03,0.4080156744887877,0.408821864884215,-0.5986999094008925,-0.23101357618880636
150,41,0.31,0.03,0.4078896920377917,0.4153080161313022,-0.5986999094008925,-0.23101357618880636
152,38,0.31,0.03,0.406989570807361,0.4075407137142809,-0.5986999094008927,-0.23101357618880636
151,40,0.31,0.03,0.4064664605546997,0.41802182283370837,-0.5986999094008925,-0.23117217122010747
147,45,0.32,0.03,0.4056890662435533,0.4084403235043066,-0.5986999094008931,-0.3392857563953484
148,45,0.32,0.03,0.4056890662435533,0.4084403235043066,-0.5986999094008931,-0.3392857563953484
147,40,0.31,0.03,0.4050719622579009,0.4119187702243273,-0.5986999094008932,-0.23117217122010758
148,40,0.31,0.03,0.4050719622579009,0.4119187702243273,-0.5986999094008932,-0.23117217122010758
147,46,0.32,0.03,0.4050559826902178,0.4066533522718273,-0.5986999094008929,-0.3392857563953483
148,46,0.32,0.03,0.4050559826902178,0.4066533522718273,-0.5986999094008929,-0.3392857563953483
150,40,0.31,0.03,0.40494624319607553,0.41844750616568827,-0.5986999094008925,-0.23117217122010758
151,39,0.32,0.03,0.4045124328042091,0.40795266159187193,-0.5986999094008931,-0.2310135761888057
151,45,0.32,0.03,0.4043199995882345,0.41242656822113,-0.598699909400893,-0.33928575639534886
151,46,0.32,0.03,0.40368753262472956,0.4106301715950832,-0.5986999094008927,-0.3392857563953483
151,39,0.31,0.03,0.40305259773026525,0.41421198848741336,-0.5986999094008929,-0.23101357618880658
150,39,0.32,0.03,0.4029943275093908,0.4083643176208709,-0.5986999094008929,-0.23101357618880713
150,45,0.32,0.03,0.40280210229006874,0.41284590981268543,-0.5986999094008927,-0.3392857563953484
152,40,0.31,0.03,0.4026979351362525,0.41343213485364305,-0.5986999094008929,-0.23117217122010758
147,47,0.32,0.03,0.40261754521841775,0.4029038229860211,-0.5986999094008929,-0.33928575639534886
148,47,0.32,0.03,0.40261754521841775,0.4029038229860211,-0.5986999094008929,-0.33928575639534886
147,44,0.32,0.03,0.4025858935078823,0.41082217600843673,-0.5986999094008929,-0.3392857563953482
148,44,0.32,0.03,0.4025858935078823,0.41082217600843673,-0.5986999094008929,-0.3392857563953482
152,41,0.31,0.03,0.4022360882132663,0.4087880175701265,-0.5986999094008923,-0.23101357618880658
150,46,0.32,0.03,0.4021703189456074,0.4110473994930226,-0.5986999094008922,-0.3392857563953483
153,38,0.31,0.03,0.4018919141798656,0.4032140494556321,-0.6047313813609771,-0.2310135761888068
154,38,0.31,0.03,0.40182490716426367,0.4036956524149219,-0.6047313813609773,-0.23101357618880702
151,47,0.32,0.03,0.4018234679582593,0.4068629061918432,-0.5986999094008927,-0.33928575639534786
147,45,0.34,0.03,0.401638416688769,0.4018074250035082,-0.5986999094008927,-0.33154928761238545
148,45,0.34,0.03,0.401638416688769,0.4018074250035082,-0.5986999094008927,-0.33154928761238545
147,39,0.31,0.03,0.4015570925299574,0.40713761999984066,-0.5986999094008926,-0.23101357618880625
148,39,0.31,0.03,0.4015570925299574,0.40713761999984066,-0.5986999094008926,-0.23101357618880625
150,39,0.31,0.03,0.4015360703377169,0.4146360282108037,-0.5986999094008928,-0.23101357618880625
149,38,0.31,0.03,0.4015297098062738,0.40170024621266265,-0.5986999094008927,-0.23101357618880625
147,39,0.32,0.03,0.4014201384770819,0.4029584037628383,-0.5986999094008929,-0.23101357618880713
148,39,0.32,0.03,0.4014201384770819,0.4029584037628383,-0.5986999094008929,-0.23101357618880713
151,44,0.32,0.03,0.4012198491783543,0.4148359697701457,-0.5986999094008928,-0.3392857563953483
147,41,0.32,0.03,0.40102794357011473,0.4016351014941246,-0.5986999094008922,-0.3392857563953485
148,41,0.32,0.03,0.40102794357011473,0.4016351014941246,-0.5986999094008922,-0.3392857563953485
147,40,0.32,0.03,0.40098772656537274,0.4109028834711205,-0.5986999094008933,-0.37077900806222064
