method,method_label,candidate_id,parameters,delay,cagr,post_2008_cagr,post_2010_cagr,volatility,max_drawdown,dotcom_max_drawdown,trailing_252_return,return_2026_ytd,ending_value_1000,tecl_share,tqqq_share,defensive_share,asset_switches,tecl_entries,total_turnover
Baseline,Baseline TQQQ,baseline_tqqq,"{""risk_on_asset"": ""TQQQ""}",0,0.41608080544251336,0.4020930336319135,0.38889688713123083,0.4457051422826285,-0.5316048869501026,-0.2310135761888068,0.33408353067595264,-0.07497850818989038,37702991.84121797,0.0,0.6649613013249377,0.3350386986750623,54,0,60.763536591864685
Baseline,Baseline TQQQ,baseline_tqqq,"{""risk_on_asset"": ""TQQQ""}",1,0.41195425197017665,0.4086563118964357,0.3983570685736597,0.44801752701271347,-0.5986999094008929,-0.3707790080622211,0.3356841873010221,-0.07129995128262956,34513311.2146069,0.0,0.6648301193755739,0.3351698806244261,54,0,60.74721931334652
All_TECL,TECL throughout risk-on,all_tecl,"{""risk_on_asset"": ""TECL""}",0,0.30820520453802236,0.36300609741892087,0.34019107919008307,0.43858387512030655,-0.5315231630730759,-0.20231930054535063,0.4756560647091488,-0.08202273516968217,3420186.4696358135,0.6649613013249377,0.0,0.3350386986750623,54,27,60.763536591864685
All_TECL,TECL throughout risk-on,all_tecl,"{""risk_on_asset"": ""TECL""}",1,0.3138301273031108,0.37537734391507294,0.35274165584309625,0.4403563849911366,-0.582200991301344,-0.32086497288404936,0.4615647074948681,-0.0790150819338411,3894838.66223218,0.6648301193755739,0.0,0.3351698806244261,54,27,60.74721931334652
A_profit_target,A: Profit target,profit_target_0.10,"{""profit_target_from_breakout_close"": 0.1}",0,0.40138420051642987,0.40933098665836454,0.39633551262389055,0.4422574811312164,-0.5272986814342199,-0.2310135761888068,0.45583091847875745,-0.045365094963433994,27487783.569701526,0.04591368227731864,0.6190476190476191,0.3350386986750623,73,27,79.76353659186469
A_profit_target,A: Profit target,profit_target_0.10,"{""profit_target_from_breakout_close"": 0.1}",1,0.4025391924354067,0.4145627495454809,0.40293916624153403,0.44541735125297277,-0.5940318925030553,-0.37620087859235984,0.45974190661166947,-0.04709547625795829,28182334.406108383,0.045782500327954875,0.6190476190476191,0.3351698806244261,73,27,79.74721931334652
A_profit_target,A: Profit target,profit_target_0.15,"{""profit_target_from_breakout_close"": 0.15}",0,0.3978447672800858,0.4050429377690161,0.3915329933934695,0.44226498892245114,-0.5272986814342198,-0.2310135761888068,0.4725872141016225,-0.045365094963433994,25460894.45892545,0.05562114653023744,0.6093401547947003,0.3350386986750623,73,27,79.76353659186469
A_profit_target,A: Profit target,profit_target_0.15,"{""profit_target_from_breakout_close"": 0.15}",1,0.39388885242518956,0.4115352795329854,0.399544831154081,0.44479243261198126,-0.5940318925030559,-0.37620087859235984,0.4295076776346922,-0.04709547625795829,23366484.4716689,0.05548996458087367,0.6093401547947003,0.3351698806244261,73,27,79.7472193133465
A_profit_target,A: Profit target,profit_target_0.20,"{""profit_target_from_breakout_close"": 0.2}",0,0.39534140915960436,0.4100742529244559,0.3978603716171978,0.4417555826599096,-0.5272986814342193,-0.2310135761888068,0.4931034094727962,-0.045365094963433994,24115399.07882866,0.06965761511216056,0.5953036862127771,0.3350386986750623,73,27,79.76353659186469
A_profit_target,A: Profit target,profit_target_0.20,"{""profit_target_from_breakout_close"": 0.2}",1,0.39770953717216373,0.41921982514939904,0.40664194852287383,0.44438340665424086,-0.5940318925030555,-0.37620087859235984,0.46816009405606773,-0.04709547625795829,25386393.0395554,0.0695264331627968,0.5953036862127771,0.3351698806244261,73,27,79.7472193133465
A_profit_target,A: Profit target,profit_target_0.25,"{""profit_target_from_breakout_close"": 0.25}",0,0.39553527095724017,0.4212556314705884,0.4040969137569712,0.4390908863892768,-0.52729868143422,-0.2310135761888068,0.5059754383686044,-0.045365094963433994,24217089.89071204,0.1390528663255936,0.5259084349993441,0.3350386986750623,70,27,76.76353659186469
A_profit_target,A: Profit target,profit_target_0.25,"{""profit_target_from_breakout_close"": 0.25}",1,0.3922260834052911,0.4284129736958018,0.40987891509212004,0.4416712121623384,-0.5940318925030557,-0.37620087859235984,0.47541076282778905,-0.04709547625795829,22536784.893195197,0.13892168437622984,0.5259084349993441,0.3351698806244261,70,27,76.74721931334652
A_profit_target,A: Profit target,profit_target_0.30,"{""profit_target_from_breakout_close"": 0.3}",0,0.3941672868798576,0.4276030055592035,0.4102360672590031,0.43964321286743296,-0.52729868143422,-0.2310135761888068,0.5042084464774084,-0.045365094963433994,23508276.17084584,0.1561065197428834,0.5088547815820543,0.3350386986750623,70,27,76.76353659186469
A_profit_target,A: Profit target,profit_target_0.30,"{""profit_target_from_breakout_close"": 0.3}",1,0.39707231069626037,0.4412390110278539,0.42298363700348207,0.4422344356861358,-0.594031892503056,-0.37620087859235984,0.4584883623439018,-0.04709547625795829,25038157.857542634,0.1559753377935196,0.5088547815820543,0.3351698806244261,70,27,76.74721931334652
B_fixed_duration,B: Fixed duration,fixed_duration_10,"{""tecl_holding_days_after_risk_on"": 10}",0,0.4031910137543604,0.40802485286671364,0.39759725546524893,0.4433614859356848,-0.5335974673349297,-0.2310135761888068,0.4446983953668102,-0.045365094963433994,28581764.559236433,0.02833530106257379,0.6366260002623639,0.3350386986750623,74,27,80.76353659186469
B_fixed_duration,B: Fixed duration,fixed_duration_10,"{""tecl_holding_days_after_risk_on"": 10}",1,0.4008545359619655,0.41902031885018265,0.40824782240812896,0.4460315481969422,-0.6039607109450802,-0.37620087859235984,0.43461485992103666,-0.04709547625795829,27174834.924329404,0.02820411911321002,0.6366260002623639,0.3351698806244261,74,27,80.74721931334653
B_fixed_duration,B: Fixed duration,fixed_duration_20,"{""tecl_holding_days_after_risk_on"": 20}",0,0.40212326728396985,0.4131022114130656,0.39715698234815244,0.4424080565875501,-0.551197478365825,-0.2310135761888068,0.510283788789422,-0.045365094963433994,27930286.078160357,0.0545716909353273,0.6103896103896104,0.3350386986750623,74,27,80.76353659186469
B_fixed_duration,B: Fixed duration,fixed_duration_20,"{""tecl_holding_days_after_risk_on"": 20}",1,0.397458748506057,0.4191187605372997,0.40371037042257574,0.4448929899784942,-0.6102904091940154,-0.37620087859235984,0.4840286156425815,-0.04709547625795829,25248785.310712803,0.05444050898596353,0.6103896103896104,0.3351698806244261,74,27,80.74721931334652
B_fixed_duration,B: Fixed duration,fixed_duration_40,"{""tecl_holding_days_after_risk_on"": 40}",0,0.38034354457410924,0.41360960219820364,0.3946172627520168,0.43939378281947183,-0.5562927694895807,-0.2310135761888068,0.518263270426701,-0.045365094963433994,17383494.244974572,0.10232192050373869,0.562639380821199,0.3350386986750623,71,27,77.76353659186469
B_fixed_duration,B: Fixed duration,fixed_duration_40,"{""tecl_holding_days_after_risk_on"": 40}",1,0.38311930334333666,0.4268918076294377,0.406978224773034,0.4418978066232027,-0.6115786924033,-0.37620087859235984,0.4876129274270993,-0.04709547625795829,18474098.018523764,0.10219073855437492,0.562639380821199,0.3351698806244261,71,27,77.74721931334652
B_fixed_duration,B: Fixed duration,fixed_duration_60,"{""tecl_holding_days_after_risk_on"": 60}",0,0.3767937656040934,0.4189320810627337,0.4038289868616991,0.43750069927992546,-0.5405843808218049,-0.20231930054535063,0.45403224550606813,-0.045365094963433994,16079199.96890577,0.14285714285714285,0.5221041584677948,0.3350386986750623,69,27,75.76353659186469
B_fixed_duration,B: Fixed duration,fixed_duration_60,"{""tecl_holding_days_after_risk_on"": 60}",1,0.37572978294770465,0.42617164787784056,0.4103803194137847,0.43967395504949597,-0.6042441933520417,-0.32086497288404936,0.415234939869106,-0.04709547625795829,15707052.883391408,0.1427259609077791,0.5221041584677948,0.3351698806244261,69,27,75.74721931334652
B_fixed_duration,B: Fixed duration,fixed_duration_80,"{""tecl_holding_days_after_risk_on"": 80}",0,0.3837675363395381,0.4271412470384466,0.4119509111630282,0.43821443536327387,-0.5272986814342195,-0.20231930054535063,0.5821963742242309,-0.045365094963433994,18738162.575234883,0.1822117276662731,0.48274957365866455,0.3350386986750623,69,27,75.76353659186469
B_fixed_duration,B: Fixed duration,fixed_duration_80,"{""tecl_holding_days_after_risk_on"": 80}",1,0.3832857201426412,0.4338182740960219,0.4195874886324815,0.44031852828095125,-0.5940318925030552,-0.32086497288404936,0.5662193801883773,-0.04709547625795829,18541544.26969239,0.18208054571690935,0.48274957365866455,0.3351698806244261,69,27,75.74721931334652
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.10,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.1}",0,0.40709284957585457,0.4094641765917366,0.3944506680705675,0.4426764333508977,-0.5264498366113941,-0.2310135761888068,0.4565588345579674,-0.05133791187827408,31089730.806178212,0.04014167650531287,0.6248196248196248,0.3350386986750623,97,24,103.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.10,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.1}",1,0.39932652565074256,0.40847489987278074,0.3987645558508841,0.4453771482232347,-0.5950036842090525,-0.3707790080622211,0.4247081440179441,-0.06697370693087912,26291205.245434545,0.0400104945559491,0.6248196248196248,0.3351698806244261,97,24,103.74721931334652
