method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_post_2010_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_tecl_share,max_tecl_share,max_asset_switches,max_total_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements
A_profit_target,A: Profit target,profit_target_0.10,"{""profit_target_from_breakout_close"": 0.1}",0.40138420051642987,0.4019616964759183,0.40933098665836454,0.39633551262389055,0.45583091847875745,-0.04709547625795829,0.44541735125297277,-0.5940318925030553,-0.37620087859235984,0.045782500327954875,0.04591368227731864,73,79.76353659186469,0.40138420051642987,0.4025391924354067,0.0011549919189768332,True
A_profit_target,A: Profit target,profit_target_0.15,"{""profit_target_from_breakout_close"": 0.15}",0.39388885242518956,0.39586680985263767,0.4050429377690161,0.3915329933934695,0.4295076776346922,-0.04709547625795829,0.44479243261198126,-0.5940318925030559,-0.37620087859235984,0.05548996458087367,0.05562114653023744,73,79.76353659186469,0.39388885242518956,0.3978447672800858,0.003955914854896214,True
A_profit_target,A: Profit target,profit_target_0.20,"{""profit_target_from_breakout_close"": 0.2}",0.39534140915960436,0.39652547316588405,0.4100742529244559,0.3978603716171978,0.46816009405606773,-0.04709547625795829,0.44438340665424086,-0.5940318925030555,-0.37620087859235984,0.0695264331627968,0.06965761511216056,73,79.76353659186469,0.39534140915960436,0.39770953717216373,0.0023681280125593673,True
A_profit_target,A: Profit target,profit_target_0.25,"{""profit_target_from_breakout_close"": 0.25}",0.3922260834052911,0.3938806771812656,0.4212556314705884,0.4040969137569712,0.47541076282778905,-0.04709547625795829,0.4416712121623384,-0.5940318925030557,-0.37620087859235984,0.13892168437622984,0.1390528663255936,70,76.76353659186469,0.3922260834052911,0.39553527095724017,0.0033091875519490888,True
A_profit_target,A: Profit target,profit_target_0.30,"{""profit_target_from_breakout_close"": 0.3}",0.3941672868798576,0.395619798788059,0.4276030055592035,0.4102360672590031,0.4584883623439018,-0.04709547625795829,0.4422344356861358,-0.594031892503056,-0.37620087859235984,0.1559753377935196,0.1561065197428834,70,76.76353659186469,0.3941672868798576,0.39707231069626037,0.0029050238164027853,True
All_TECL,TECL throughout risk-on,all_tecl,"{""risk_on_asset"": ""TECL""}",0.30820520453802236,0.31101766592056657,0.36300609741892087,0.34019107919008307,0.4615647074948681,-0.08202273516968217,0.4403563849911366,-0.582200991301344,-0.32086497288404936,0.6648301193755739,0.6649613013249377,54,60.763536591864685,0.30820520453802236,0.3138301273031108,0.005624922765088414,True
B_fixed_duration,B: Fixed duration,fixed_duration_10,"{""tecl_holding_days_after_risk_on"": 10}",0.4008545359619655,0.40202277485816296,0.40802485286671364,0.39759725546524893,0.43461485992103666,-0.04709547625795829,0.4460315481969422,-0.6039607109450802,-0.37620087859235984,0.02820411911321002,0.02833530106257379,74,80.76353659186469,0.4008545359619655,0.4031910137543604,0.0023364777923948754,True
B_fixed_duration,B: Fixed duration,fixed_duration_20,"{""tecl_holding_days_after_risk_on"": 20}",0.397458748506057,0.39979100789501343,0.4131022114130656,0.39715698234815244,0.4840286156425815,-0.04709547625795829,0.4448929899784942,-0.6102904091940154,-0.37620087859235984,0.05444050898596353,0.0545716909353273,74,80.76353659186469,0.397458748506057,0.40212326728396985,0.004664518777912852,True
B_fixed_duration,B: Fixed duration,fixed_duration_40,"{""tecl_holding_days_after_risk_on"": 40}",0.38034354457410924,0.38173142395872295,0.41360960219820364,0.3946172627520168,0.4876129274270993,-0.04709547625795829,0.4418978066232027,-0.6115786924033,-0.37620087859235984,0.10219073855437492,0.10232192050373869,71,77.76353659186469,0.38034354457410924,0.38311930334333666,0.002775758769227421,True
B_fixed_duration,B: Fixed duration,fixed_duration_60,"{""tecl_holding_days_after_risk_on"": 60}",0.37572978294770465,0.376261774275899,0.4189320810627337,0.4038289868616991,0.415234939869106,-0.04709547625795829,0.43967395504949597,-0.6042441933520417,-0.32086497288404936,0.1427259609077791,0.14285714285714285,69,75.76353659186469,0.37572978294770465,0.3767937656040934,0.00106398265638874,True
B_fixed_duration,B: Fixed duration,fixed_duration_80,"{""tecl_holding_days_after_risk_on"": 80}",0.3832857201426412,0.38352662824108963,0.4271412470384466,0.4119509111630282,0.5662193801883773,-0.04709547625795829,0.44031852828095125,-0.5940318925030552,-0.32086497288404936,0.18208054571690935,0.1822117276662731,69,75.76353659186469,0.3832857201426412,0.3837675363395381,0.00048181619689691146,True
Baseline,Baseline TQQQ,baseline_tqqq,"{""risk_on_asset"": ""TQQQ""}",0.41195425197017665,0.414017528706345,0.4020930336319135,0.38889688713123083,0.33408353067595264,-0.07497850818989038,0.44801752701271347,-0.5986999094008929,-0.3707790080622211,0.0,0.0,54,60.763536591864685,0.41195425197017665,0.41608080544251336,0.0041265534723367026,True
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.10,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.1}",0.4087908028187903,0.4097041374613828,0.41062125233662905,0.3909989884364402,0.36017166954862545,-0.07497850818989038,0.44664793109031614,-0.5920100806160141,-0.3707790080622211,0.04329004329004329,0.04329004329004329,94,100.76353659186469,0.4087908028187903,0.41061747210397526,0.0018266692851849342,True
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.20,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.2}",0.4060420264691751,0.40625616194889325,0.4104625531706798,0.3886954114301351,0.37613717940288827,-0.07497850818989038,0.4453197929538235,-0.594232451770374,-0.3707790080622211,0.0755608028335301,0.0755608028335301,91,97.76353659186469,0.4060420264691751,0.4064702974286114,0.00042827095943631655,True
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.30,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.3}",0.40632282637252404,0.4088705358583429,0.4229782077822992,0.40518156612937495,0.40628355560289164,-0.07497850818989038,0.4454153879435399,-0.5942324517703739,-0.3707790080622211,0.12055621146530238,0.12055621146530238,91,97.76353659186469,0.40632282637252404,0.4114182453441617,0.005095418971637677,True
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.10,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.1}",0.39932652565074256,0.40320968761329856,0.40847489987278074,0.3944506680705675,0.4247081440179441,-0.06697370693087912,0.4453771482232347,-0.5950036842090525,-0.3707790080622211,0.0400104945559491,0.04014167650531287,97,103.76353659186469,0.39932652565074256,0.40709284957585457,0.007766323925112006,True
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.20,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.2}",0.39528009810567744,0.397833331251388,0.4081088857042401,0.39293475834969027,0.4414311742221486,-0.06697370693087912,0.44497647002631247,-0.5950036842090513,-0.3707790080622211,0.06257378984651712,0.06270497179588089,97,103.76353659186469,0.39528009810567744,0.4003865643970985,0.005106466291421086,True
