episode_id,episode_number,episode_start,episode_end,episode_days,carry_day,omit_block_days,best_entry,best_exit,best_cagr,full_opt_cagr_without_episode,full_opt_episode_block_return,included_return_days,same_as_full_optimum,entry_shift,exit_shift,best_cagr_pct,full_opt_cagr_without_episode_pct,full_opt_episode_block_return_pct
0,1,2011-01-03,2011-01-18,11,2011-01-19,12,70.1,68.9,1.118607016374506,1.118607016374506,-0.21623180342283455,3832,True,0.0,0.0,111.8607016374506,111.8607016374506,-21.623180342283455
1,2,2011-01-26,2011-01-27,2,2011-01-28,3,70.1,68.9,1.0634389986238015,1.0634389986238015,0.14077056820272338,3841,True,0.0,0.0,106.34389986238016,106.34389986238016,14.077056820272338
2,3,2011-02-07,2011-02-18,10,2011-02-22,11,70.1,68.9,1.0496343956737997,1.0496343956737997,0.29278699994894297,3833,True,0.0,0.0,104.96343956737996,104.96343956737996,29.278699994894296
3,4,2012-01-20,2012-01-20,1,2012-01-23,2,70.1,68.9,1.0896083403824695,1.0896083403824695,-0.06134833859359168,3842,True,0.0,0.0,108.96083403824694,108.96083403824694,-6.134833859359167
4,5,2012-01-25,2012-01-25,1,2012-01-26,2,70.1,68.9,1.0750381271983565,1.0750381271983565,0.04432164313356379,3842,True,0.0,0.0,107.50381271983565,107.50381271983565,4.432164313356379
5,6,2012-02-03,2012-02-09,5,2012-02-10,6,70.1,68.9,1.0380550182420833,1.0380550182420833,0.3893660298350805,3838,True,0.0,0.0,103.80550182420833,103.80550182420833,38.93660298350805
6,7,2012-02-13,2012-02-14,2,2012-02-15,3,70.1,68.9,1.057134825899917,1.057134825899917,0.19523457557860402,3841,True,0.0,0.0,105.71348258999168,105.71348258999168,19.523457557860404
7,8,2012-02-17,2012-02-21,2,2012-02-22,3,70.1,68.9,1.0878664000768485,1.0878664000768485,-0.04655632778756569,3841,True,0.0,0.0,108.78664000768485,108.78664000768485,-4.655632778756569
8,9,2012-02-24,2012-02-28,3,2012-02-29,4,70.1,68.9,1.0852603081152132,1.0852603081152132,-0.025393552782245532,3840,True,0.0,0.0,108.52603081152132,108.52603081152132,-2.539355278224553
9,10,2012-03-01,2012-03-01,1,2012-03-02,2,70.1,68.9,1.074978720621834,1.074978720621834,0.04477757562772022,3842,True,0.0,0.0,107.4978720621834,107.4978720621834,4.477757562772022
10,11,2012-03-13,2012-03-21,7,2012-03-22,8,70.1,68.9,1.1131429179626395,1.1131429179626395,-0.19446484643493467,3836,True,0.0,0.0,111.31429179626396,111.31429179626396,-19.446484643493466
11,12,2012-03-26,2012-03-26,1,2012-03-27,2,70.1,68.9,1.0504198450069389,1.0504198450069389,0.2527338064774729,3842,True,0.0,0.0,105.04198450069389,105.04198450069389,25.273380647747288
12,13,2012-09-07,2012-09-07,1,2012-09-10,2,70.1,68.9,1.069243244148744,1.069243244148744,0.08981082580539845,3842,True,0.0,0.0,106.9243244148744,106.9243244148744,8.981082580539844
13,14,2012-09-13,2012-09-24,8,2012-09-25,9,70.1,68.9,1.0711164474236106,1.0711164474236106,0.09684009811313876,3835,True,0.0,0.0,107.11164474236105,107.11164474236105,9.684009811313876
14,15,2013-01-22,2013-01-30,7,2013-01-31,8,70.1,68.9,1.0717405992121924,1.0717405992121924,0.08867078810989582,3836,True,0.0,0.0,107.17405992121924,107.17405992121924,8.867078810989582
15,16,2013-02-01,2013-02-01,1,2013-02-04,2,70.1,68.9,1.058346424927016,1.058346424927016,0.18116735362479286,3842,True,0.0,0.0,105.8346424927016,105.8346424927016,18.116735362479286
16,17,2013-02-19,2013-02-19,1,2013-02-20,2,70.1,68.9,1.0559315860042693,1.0559315860042693,0.2024970622862563,3842,True,0.0,0.0,105.59315860042693,105.59315860042693,20.24970622862563
17,18,2013-03-14,2013-03-15,2,2013-03-18,3,70.1,68.9,1.064674048132003,1.064674048132003,0.13041375991792847,3841,True,0.0,0.0,106.46740481320029,106.46740481320029,13.041375991792847
18,19,2013-05-14,2013-05-21,6,2013-05-22,7,70.1,68.9,1.0722912023083992,1.0722912023083992,0.08114531558591831,3837,True,0.0,0.0,107.22912023083992,107.22912023083992,8.114531558591832
19,20,2013-08-02,2013-08-05,2,2013-08-06,3,70.1,68.9,1.0743465868489657,1.0743465868489657,0.052685782791125124,3841,True,0.0,0.0,107.43465868489656,107.43465868489656,5.268578279112512
20,21,2013-09-18,2013-09-19,2,2013-09-20,3,70.1,68.9,1.0743297309579023,1.0743297309579023,0.05281617197841704,3841,True,0.0,0.0,107.43297309579023,107.43297309579023,5.281617197841704
21,22,2013-10-29,2013-10-29,1,2013-10-30,2,70.1,68.9,1.0772578493512088,1.0772578493512088,0.027436813645547176,3842,True,0.0,0.0,107.72578493512088,107.72578493512088,2.7436813645547176
22,23,2013-12-26,2013-12-31,4,2014-01-02,5,70.1,68.9,1.0672371632840476,1.0672371632840476,0.11565016794907956,3839,True,0.0,0.0,106.72371632840476,106.72371632840476,11.565016794907956
23,24,2014-06-05,2014-06-11,5,2014-06-12,6,70.1,68.9,1.075052022139809,1.075052022139809,0.056384809214043985,3838,True,0.0,0.0,107.5052022139809,107.5052022139809,5.6384809214043985
24,25,2014-06-19,2014-06-23,3,2014-06-24,4,70.1,68.9,1.075895771309105,1.075895771309105,0.043796124651146906,3840,True,0.0,0.0,107.58957713091051,107.58957713091051,4.379612465114691
25,26,2014-07-01,2014-07-03,3,2014-07-07,4,70.1,68.9,1.0766386211054146,1.0766386211054146,0.038120929425623507,3840,True,0.0,0.0,107.66386211054146,107.66386211054146,3.8120929425623507
26,27,2014-11-18,2014-11-28,8,2014-12-01,9,70.1,68.9,1.074971885231292,1.074971885231292,0.06623159936970224,3835,True,0.0,0.0,107.4971885231292,107.4971885231292,6.623159936970224
27,28,2015-11-03,2015-11-03,1,2015-11-04,2,70.1,68.9,1.0748161389148851,1.0748161389148851,0.04602643962074504,3842,True,0.0,0.0,107.48161389148851,107.48161389148851,4.602643962074504
28,29,2016-04-01,2016-04-01,1,2016-04-04,2,70.1,68.9,1.0690221325041915,1.0690221325041915,0.09158781603433885,3842,True,0.0,0.0,106.90221325041915,106.90221325041915,9.158781603433885
29,30,2016-11-25,2016-11-25,1,2016-11-28,2,70.1,68.9,1.075536619484705,1.075536619484705,0.040504167141084624,3842,True,0.0,0.0,107.55366194847049,107.55366194847049,4.050416714108462
30,31,2016-12-07,2016-12-13,5,2016-12-14,6,70.1,68.9,1.0773512936974443,1.0773512936974443,0.038716703591763935,3838,True,0.0,0.0,107.73512936974443,107.73512936974443,3.8716703591763935
31,32,2016-12-15,2016-12-15,1,2016-12-16,2,70.1,68.9,1.0837845229191796,1.0837845229191796,-0.02054623618851603,3842,True,0.0,0.0,108.37845229191797,108.37845229191797,-2.054623618851603
32,33,2016-12-20,2016-12-20,1,2016-12-21,2,70.1,68.9,1.0831937727963536,1.0831937727963536,-0.016303047238107604,3842,True,0.0,0.0,108.31937727963536,108.31937727963536,-1.6303047238107604
33,34,2017-02-10,2017-03-03,15,2017-03-06,16,70.1,68.9,1.1023522383081605,1.1023522383081605,-0.10839183215557535,3828,True,0.0,0.0,110.23522383081605,110.23522383081605,-10.839183215557535
34,35,2017-06-02,2017-06-05,2,2017-06-06,3,70.1,68.9,1.068672738210037,1.068672738210037,0.0975634797204572,3841,True,0.0,0.0,106.86727382100369,106.86727382100369,9.75634797204572
35,36,2017-06-19,2017-06-19,1,2017-06-20,2,70.1,68.9,1.0666202921915375,1.0666202921915375,0.11109065225432135,3842,True,0.0,0.0,106.66202921915375,106.66202921915375,11.109065225432136
36,37,2017-09-29,2017-10-24,18,2017-10-25,19,70.1,68.9,1.1011959150084039,1.1011959150084039,-0.09292657412441474,3825,True,0.0,0.0,110.11959150084039,110.11959150084039,-9.292657412441475
37,38,2017-10-27,2017-10-27,1,2017-10-30,2,70.1,68.9,1.0680069822052665,1.0680069822052665,0.09978591246979951,3842,True,0.0,0.0,106.80069822052664,106.80069822052664,9.978591246979951
38,39,2017-11-03,2017-11-08,4,2017-11-09,5,70.1,68.9,1.0737254931914326,1.0737254931914326,0.06364071717807995,3839,True,0.0,0.0,107.37254931914326,107.37254931914326,6.364071717807995
39,40,2017-11-28,2017-12-04,5,2017-12-05,6,70.1,68.9,1.068961590491619,1.068961590491619,0.10475091961760263,3838,True,0.0,0.0,106.8961590491619,106.8961590491619,10.475091961760263
40,41,2017-12-08,2017-12-13,4,2017-12-14,5,70.1,68.9,1.0922766689557628,1.0922766689557628,-0.07130800201271792,3839,True,0.0,0.0,109.22766689557628,109.22766689557628,-7.130800201271792
41,42,2017-12-15,2017-12-22,6,2017-12-26,7,70.1,68.9,1.0828098482425128,1.0828098482425128,0.000930966762730856,3837,True,0.0,0.0,108.28098482425128,108.28098482425128,0.0930966762730856
42,43,2017-12-28,2017-12-28,1,2017-12-29,2,70.1,68.4,1.0780602844257392,1.0772651756121512,0.027381568836759573,3842,False,0.0,-0.5,107.80602844257392,107.72651756121512,2.7381568836759573
43,44,2018-01-03,2018-01-29,18,2018-01-30,19,70.1,68.9,1.0457645697624622,1.0457645697624622,0.3610661778225215,3825,True,0.0,0.0,104.57645697624622,104.57645697624622,36.10661778225215
44,45,2018-07-25,2018-07-25,1,2018-07-26,2,70.1,68.9,1.0744141788551964,1.0744141788551964,0.04912091076176317,3842,True,0.0,0.0,107.44141788551964,107.44141788551964,4.912091076176317
45,46,2018-08-29,2018-08-29,1,2018-08-30,2,70.1,68.9,1.0689638924733749,1.0689638924733749,0.09205638256685367,3842,True,0.0,0.0,106.89638924733748,106.89638924733748,9.205638256685367
46,47,2019-02-19,2019-02-20,2,2019-02-21,3,70.1,68.9,1.083784374146329,1.083784374146329,-0.01768743105319992,3841,True,0.0,0.0,108.37843741463291,108.37843741463291,-1.768743105319992
47,48,2019-02-22,2019-02-27,4,2019-02-28,5,70.1,68.9,1.07378359026435,1.07378359026435,0.06318686256466677,3839,True,0.0,0.0,107.37835902643499,107.37835902643499,6.318686256466677
48,49,2019-03-01,2019-03-01,1,2019-03-04,2,70.1,68.9,1.0779141736615547,1.0779141736615547,0.022500235784025602,3842,True,0.0,0.0,107.79141736615547,107.79141736615547,2.25002357840256
49,50,2019-03-21,2019-03-21,1,2019-03-22,2,70.1,68.9,1.0539844605569346,1.0539844605569346,0.21999442283641724,3842,True,0.0,0.0,105.39844605569346,105.39844605569346,21.999442283641724
