dataset,vol_label,entry,exit,cagr,final_multiple,max_drawdown,trade_count,vol_days,start_date,end_date
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.1,68.9,1.0900534807739675,78296.18716343121,-0.733422668266667,257,370,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.1,68.4,1.0867127896378634,76404.95205033552,-0.7334226682666671,251,384,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.1,68.5,1.085858039052531,75927.96625985726,-0.7334226682666671,251,382,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.1,68.6,1.085858039052531,75927.96625985726,-0.7334226682666671,251,382,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.1,68.7,1.085858039052531,75927.96625985726,-0.7334226682666671,251,382,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.2,68.9,1.0746855587935422,69943.7768628845,-0.7334226682666669,251,363,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.0,68.9,1.0733945564423482,69281.45060240164,-0.7334226682666667,260,377,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.0,68.4,1.0687628804301412,66953.17508949962,-0.7334226682666668,254,390,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.0,68.5,1.0679154824117156,66535.19546529859,-0.7334226682666668,254,388,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,70.0,68.6,1.0679154824117156,66535.19546529859,-0.7334226682666668,254,388,2011-01-03,2026-04-17
