split_id,train_years,test_years,selected_train_cagr,selected_test_cagr,selected_test_rank,selected_test_rank_pct,is_oos_below_median,is_oos_loss
0,"2015,2016,2017,2020,2021,2022,2023,2025","2010,2011,2012,2013,2014,2018,2019,2024",1.3709592141232516,1.0854790330368647,162,0.75,True,False
1,"2010,2015,2016,2018,2019,2022,2023,2025","2011,2012,2013,2014,2017,2020,2021,2024",1.0314207573761007,2.2921686925109666,12,0.05555555555555555,False,False
2,"2011,2013,2016,2018,2021,2023,2024,2025","2010,2012,2014,2015,2017,2019,2020,2022",1.9858354030148635,0.9736650916683685,49,0.22685185185185186,False,False
3,"2011,2012,2013,2014,2015,2017,2021,2023","2010,2016,2018,2019,2020,2022,2024,2025",1.6264778990115727,1.196324262396895,40,0.18518518518518517,False,False
4,"2010,2013,2015,2016,2018,2021,2023,2024","2011,2012,2014,2017,2019,2020,2022,2025",1.9233195926581508,1.3001821278121661,7,0.032407407407407406,False,False
5,"2010,2011,2012,2015,2016,2019,2020,2021","2013,2014,2017,2018,2022,2023,2024,2025",2.612563989213437,0.8652030933232098,1,0.004629629629629629,False,False
6,"2010,2018,2019,2020,2021,2022,2023,2025","2011,2012,2013,2014,2015,2016,2017,2024",1.8165642811305953,1.3866103075800473,14,0.06481481481481481,False,False
7,"2011,2014,2015,2017,2018,2019,2022,2025","2010,2012,2013,2016,2020,2021,2023,2024",0.666179328853872,2.2414931253400012,93,0.4305555555555556,False,False
8,"2010,2012,2015,2018,2019,2020,2022,2025","2011,2013,2014,2016,2017,2021,2023,2024",1.2721319340228017,1.9490176959543746,23,0.10648148148148148,False,False
9,"2010,2012,2013,2014,2015,2016,2021,2024","2011,2017,2018,2019,2020,2022,2023,2025",1.999020513973425,1.242538265313022,2,0.009259259259259259,False,False
10,"2010,2012,2013,2014,2015,2016,2023,2024","2011,2017,2018,2019,2020,2021,2022,2025",1.8092341269203973,1.39255394947347,2,0.009259259259259259,False,False
11,"2010,2014,2016,2017,2018,2019,2021,2023","2011,2012,2013,2015,2020,2022,2024,2025",1.8574036137690766,1.352777401154841,5,0.023148148148148147,False,False
12,"2010,2014,2016,2020,2022,2023,2024,2025","2011,2012,2013,2015,2017,2018,2019,2021",1.580580713688784,1.6014717831318839,1,0.004629629629629629,False,False
13,"2010,2015,2016,2018,2019,2020,2022,2025","2011,2012,2013,2014,2017,2021,2023,2024",1.3676117578363827,1.8323321988016974,10,0.046296296296296294,False,False
14,"2010,2011,2013,2016,2018,2020,2021,2023","2012,2014,2015,2017,2019,2022,2024,2025",2.793620454209185,0.6626719934824292,58,0.26851851851851855,False,False
15,"2010,2012,2013,2016,2017,2019,2020,2024","2011,2014,2015,2018,2021,2022,2023,2025",2.8336731953439855,0.7594521972921231,15,0.06944444444444445,False,False
16,"2011,2012,2014,2015,2016,2020,2023,2025","2010,2013,2017,2018,2019,2021,2022,2024",1.8702281904570257,0.840163530794479,168,0.7777777777777778,True,False
17,"2010,2014,2017,2018,2020,2022,2023,2024","2011,2012,2013,2015,2016,2019,2021,2025",1.117207725136196,1.7968757896559273,45,0.20833333333333334,False,False
18,"2010,2011,2017,2018,2020,2023,2024,2025","2012,2013,2014,2015,2016,2019,2021,2022",2.0296535659658494,1.221162025948102,1,0.004629629629629629,False,False
19,"2010,2011,2014,2016,2017,2019,2020,2022","2012,2013,2015,2018,2021,2023,2024,2025",1.555672211597169,1.5126871717663097,7,0.032407407407407406,False,False
20,"2010,2012,2013,2015,2017,2021,2024,2025","2011,2014,2016,2018,2019,2020,2022,2023",2.05843835025479,1.2005674439476182,1,0.004629629629629629,False,False
21,"2012,2013,2017,2019,2020,2022,2023,2024","2010,2011,2014,2015,2016,2018,2021,2025",1.6395232977204763,1.3388370954916575,37,0.1712962962962963,False,False
22,"2011,2012,2016,2017,2018,2019,2024,2025","2010,2013,2014,2015,2020,2021,2022,2023",1.440987229977956,1.5316100216436896,32,0.14814814814814814,False,False
23,"2010,2012,2013,2015,2018,2019,2020,2025","2011,2014,2016,2017,2021,2022,2023,2024",2.3983422825386174,0.9830477006084275,51,0.2361111111111111,False,False
24,"2011,2012,2013,2017,2021,2022,2023,2024","2010,2014,2015,2016,2018,2019,2020,2025",1.2506558678984865,1.6118976579858195,48,0.2222222222222222,False,False
25,"2013,2014,2015,2016,2017,2018,2021,2024","2010,2011,2012,2019,2020,2022,2023,2025",1.5096448919653334,1.3629916133950974,30,0.1388888888888889,False,False
26,"2010,2012,2015,2017,2020,2021,2023,2024","2011,2013,2014,2016,2018,2019,2022,2025",2.2250225597047804,0.9857012247040877,25,0.11574074074074074,False,False
27,"2012,2013,2015,2017,2018,2019,2022,2024","2010,2011,2014,2016,2020,2021,2023,2025",0.7929460462169731,2.7626035847667145,2,0.009259259259259259,False,False
28,"2010,2011,2015,2016,2017,2018,2019,2020","2012,2013,2014,2021,2022,2023,2024,2025",1.9245248302097018,1.298695902486549,2,0.009259259259259259,False,False
29,"2012,2013,2014,2015,2016,2017,2019,2023","2010,2011,2018,2020,2021,2022,2024,2025",1.6647523942371096,1.5185162296004426,2,0.009259259259259259,False,False
30,"2010,2011,2013,2014,2017,2018,2024,2025","2012,2015,2016,2019,2020,2021,2022,2023",1.708115858752706,1.3732171896034657,9,0.041666666666666664,False,False
31,"2011,2013,2014,2016,2017,2019,2023,2025","2010,2012,2015,2018,2020,2021,2022,2024",2.173790830502456,0.9404328641367417,47,0.2175925925925926,False,False
32,"2012,2015,2016,2018,2019,2020,2023,2024","2010,2011,2013,2014,2017,2021,2022,2025",1.7524021229286184,1.1701968123225939,53,0.24537037037037038,False,False
33,"2011,2012,2016,2018,2021,2022,2024,2025","2010,2013,2014,2015,2017,2019,2020,2023",0.9170876620651134,2.232870434971759,17,0.0787037037037037,False,False
34,"2010,2011,2012,2015,2016,2018,2022,2023","2013,2014,2017,2019,2020,2021,2024,2025",0.7346234091638597,2.8458016169396236,2,0.009259259259259259,False,False
35,"2010,2011,2013,2014,2015,2016,2019,2021","2012,2017,2018,2020,2022,2023,2024,2025",2.392660337288182,0.8981257180453264,13,0.06018518518518518,False,False
36,"2010,2015,2016,2017,2021,2022,2024,2025","2011,2012,2013,2014,2018,2019,2020,2023",1.1305270707008233,2.1426153994150265,1,0.004629629629629629,False,False
37,"2011,2017,2019,2020,2021,2022,2023,2024","2010,2012,2013,2014,2015,2016,2018,2025",1.6965256470931713,1.2883769409092758,24,0.1111111111111111,False,False
38,"2012,2013,2015,2016,2018,2019,2023,2025","2010,2011,2014,2017,2020,2021,2022,2024",1.6699531352110122,1.5136990066219989,6,0.027777777777777776,False,False
39,"2010,2014,2015,2017,2019,2021,2023,2024","2011,2012,2013,2016,2018,2020,2022,2025",1.9318007959214158,1.293613996783821,4,0.018518518518518517,False,False
40,"2010,2011,2013,2015,2019,2021,2022,2025","2012,2014,2016,2017,2018,2020,2023,2024",1.6766692732142303,1.5092785266022957,3,0.013888888888888888,False,False
41,"2014,2015,2016,2017,2018,2019,2021,2022","2010,2011,2012,2013,2020,2023,2024,2025",0.8384564098675951,1.9353408743957639,118,0.5462962962962963,True,False
42,"2010,2015,2016,2019,2021,2023,2024,2025","2011,2012,2013,2014,2017,2018,2020,2022",2.3241252246777897,1.0266999108916557,9,0.041666666666666664,False,False
43,"2011,2015,2017,2019,2020,2021,2023,2024","2010,2012,2013,2014,2016,2018,2022,2025",2.2584815453969034,1.052763036265055,1,0.004629629629629629,False,False
44,"2010,2012,2013,2015,2016,2019,2022,2023","2011,2014,2017,2018,2020,2021,2024,2025",1.374056206605474,1.8242552389965607,20,0.09259259259259259,False,False
45,"2011,2012,2013,2017,2018,2021,2023,2024","2010,2014,2015,2016,2019,2020,2022,2025",1.62466928472592,1.4305009247348646,3,0.013888888888888888,False,False
46,"2012,2014,2016,2017,2021,2022,2023,2024","2010,2011,2013,2015,2018,2019,2020,2025",0.9723602283402786,1.773915885048746,76,0.35185185185185186,False,False
47,"2010,2011,2012,2014,2016,2017,2018,2020","2013,2015,2019,2021,2022,2023,2024,2025",1.7343337802242393,1.2979922360383669,23,0.10648148148148148,False,False
48,"2011,2014,2015,2019,2021,2022,2024,2025","2010,2012,2013,2016,2017,2018,2020,2023",1.1991661965012494,1.2506598055126847,185,0.8564814814814815,True,False
49,"2011,2013,2014,2016,2022,2023,2024,2025","2010,2012,2015,2017,2018,2019,2020,2021",1.3263656815856684,1.5414468437092963,56,0.25925925925925924,False,False
50,"2012,2013,2015,2018,2020,2021,2023,2024","2010,2011,2014,2016,2017,2019,2022,2025",2.039338158503157,1.0943952993133665,9,0.041666666666666664,False,False
51,"2010,2011,2012,2014,2017,2021,2022,2025","2013,2015,2016,2018,2019,2020,2023,2024",1.1251638211482438,2.14920443151847,1,0.004629629629629629,False,False
52,"2010,2011,2013,2014,2016,2019,2021,2023","2012,2015,2017,2018,2020,2022,2024,2025",2.716221126718721,0.8143858765138678,1,0.004629629629629629,False,False
53,"2012,2013,2016,2017,2021,2022,2024,2025","2010,2011,2014,2015,2018,2019,2020,2023",1.3202071407627267,1.6650286600367172,24,0.1111111111111111,False,False
54,"2011,2012,2014,2015,2019,2020,2021,2022","2010,2013,2016,2017,2018,2023,2024,2025",1.3821942774312426,1.3107731023896187,120,0.5555555555555556,True,False
55,"2011,2012,2016,2019,2020,2021,2022,2024","2010,2013,2014,2015,2017,2018,2023,2025",1.7765359545223833,0.9776848845860062,176,0.8148148148148148,True,False
56,"2011,2014,2015,2016,2017,2021,2023,2025","2010,2012,2013,2018,2019,2020,2022,2024",1.7588733800093874,0.7886945251027901,199,0.9212962962962963,True,False
57,"2010,2011,2017,2018,2020,2022,2023,2025","2012,2013,2014,2015,2016,2019,2021,2024",1.2605156537507174,1.9635469245964967,1,0.004629629629629629,False,False
58,"2010,2014,2015,2016,2018,2021,2022,2025","2011,2012,2013,2017,2019,2020,2023,2024",0.9334070168112958,2.08300781629417,49,0.22685185185185186,False,False
59,"2010,2012,2013,2014,2015,2016,2023,2025","2011,2017,2018,2019,2020,2021,2022,2024",1.914683061229732,1.307713305244023,1,0.004629629629629629,False,False
60,"2010,2011,2016,2017,2019,2020,2021,2023","2012,2013,2014,2015,2018,2022,2024,2025",2.9358011869513256,0.7143352020396441,1,0.004629629629629629,False,False
61,"2011,2012,2013,2015,2018,2019,2023,2025","2010,2014,2016,2017,2020,2021,2022,2024",1.6366972525532377,1.5457568094411678,8,0.037037037037037035,False,False
62,"2011,2012,2013,2014,2020,2021,2023,2025","2010,2015,2016,2017,2018,2019,2022,2024",2.765891044487903,0.6316842104154861,53,0.24537037037037038,False,False
63,"2010,2011,2013,2015,2017,2018,2021,2025","2012,2014,2016,2019,2020,2022,2023,2024",1.8127865937609386,1.2861100912497356,14,0.06481481481481481,False,False
64,"2010,2014,2015,2016,2017,2018,2020,2022","2011,2012,2013,2019,2021,2023,2024,2025",0.9836536311744941,2.155239810390032,23,0.10648148148148148,False,False
65,"2010,2016,2018,2019,2021,2022,2023,2024","2011,2012,2013,2014,2015,2017,2020,2025",1.305748441212533,1.9069934244013331,5,0.023148148148148147,False,False
66,"2010,2014,2015,2017,2019,2021,2022,2025","2011,2012,2013,2016,2018,2020,2023,2024",1.2224727524801504,2.0143744853790926,2,0.009259259259259259,False,False
