year,start,end,cagr,vol,mdd,sharpe,net
1991,1991-01-02,1991-12-31,1.0406910339875002,0.4939448867904828,-0.32771803313386305,2.106897068516333,1.0464754126531868
1992,1992-01-02,1992-12-31,0.009413398318337318,0.5592381577362315,-0.44658699001001334,0.016832539389733867,0.00948846115659796
1993,1993-01-04,1993-12-31,0.2386649900288209,0.5044864928719753,-0.3626039085962146,0.4730849951405685,0.2397174871044332
1994,1994-01-03,1994-12-30,0.3048142240976528,0.311927845981656,-0.1872085855486293,0.9771946558294076,0.3048142240976528
1995,1995-01-03,1995-12-29,-0.26586383239987044,0.5488299593498357,-0.4545284485922022,-0.48441931397991206,-0.26586383239987044
1996,1996-01-02,1996-12-31,0.5621891914186397,0.5974597728602499,-0.3632212379825833,0.9409657636483917,0.5677297403693897
1997,1997-01-02,1997-12-31,-0.3661035850802763,0.7669885757210895,-0.5693864553312695,-0.47732599502682493,-0.36724927143507324
1998,1998-01-02,1998-12-31,0.9397441011761989,0.6988908390560806,-0.37872589572505133,1.3446221479242935,0.9397441011761989
1999,1999-01-04,1999-12-31,3.431975312374793,0.9289951378299726,-0.3382954640437399,3.694287701431354,3.431975312374793
2000,2000-01-03,2000-12-29,0.6713545768315201,1.2375001551298774,-0.6036443031136367,0.5425086809472444,0.6713545768315201
2001,2001-01-02,2001-12-31,-0.6685670638331007,0.5731424404052234,-0.6766809555446212,-1.166493731227459,-0.6627061430982464
2002,2002-01-02,2002-12-31,-0.19059798620328716,0.5367014237196066,-0.5068424426911716,-0.3551285272961431,-0.19059798620328716
2003,2003-01-02,2003-12-31,1.3124163309950538,0.591140686258408,-0.20689023615097868,2.220142110843224,1.3124163309950538
2004,2004-01-02,2004-12-31,-0.06863035258620898,0.44297879979880384,-0.3592009261182507,-0.1549292034232341,-0.06863035258620898
2005,2005-01-03,2005-12-30,0.028905452933514653,0.36163630377807693,-0.26404605521345403,0.0799296216434423,0.028905452933514653
2006,2006-01-03,2006-12-29,0.9740050463502579,0.4684438149819947,-0.3274628029097302,2.079235577883967,0.9686850425278588
2007,2007-01-03,2007-12-31,0.35269863175049077,0.46507291597167827,-0.30511264425108686,0.7583727618573454,0.35107796688071
2008,2008-01-02,2008-12-31,1.1682493781756045,0.5405187939110201,-0.24566622889635503,2.161348303400383,1.174918549468245
2009,2009-01-02,2009-12-31,2.8699389550804932,0.6649191085924189,-0.19108798243576552,4.3162227073845525,2.8699389550804932
2010,2010-01-04,2010-12-31,1.592852169061132,0.5840416273439477,-0.3014338401636163,2.7272921902929466,1.592852169061132
2011,2011-01-03,2011-12-30,0.6196334257777498,0.5829804793928085,-0.33276645385194226,1.062871652963606,0.6196334257777498
2012,2012-01-03,2012-12-31,1.0020349626007117,0.6344303640159397,-0.3809373463286534,1.579424660979083,0.9910355999006413
2013,2013-01-02,2013-12-31,5.052055438304759,0.4751874095862966,-0.16004831212738657,10.631711481377703,5.052055438304759
2014,2014-01-02,2014-12-31,0.9235205581663388,0.4171570019928009,-0.2166013098715308,2.2138440773008443,0.9235205581663388
2015,2015-01-02,2015-12-31,0.19284039252857466,0.41658804143679357,-0.2207221529586978,0.46290429236393044,0.19284039252857466
2016,2016-01-04,2016-12-30,1.1127569228165846,0.4575987376073728,-0.21750603376558175,2.431730753093441,1.1127569228165846
2017,2017-01-03,2017-12-29,0.8224725170942344,0.4387020643824365,-0.24971732004225022,1.8747860652354893,0.8181370580214509
2018,2018-01-02,2018-12-31,-0.09782063385732165,0.6190719216530791,-0.4957203814894847,-0.1580117437665655,-0.0974520185707265
2019,2019-01-02,2019-12-31,2.8290944971565493,0.537989070941499,-0.304277066573195,5.258646782927279,2.8290944971565493
2020,2020-01-02,2020-12-31,4.75116007881226,0.8655700014024685,-0.49624795726234705,5.489053538262689,4.791223935605328
2021,2021-01-04,2021-12-31,4.042001182965418,0.6298116728738103,-0.30433219444159476,6.417793377061268,4.042001182965418
2022,2022-01-03,2022-12-30,-0.6763350226797538,0.5252881671603995,-0.6856741280825454,-1.287550462702944,-0.6748829294680561
2023,2023-01-03,2023-12-29,1.2576966446447324,0.5741093390634526,-0.2541884394048999,2.1906918405062337,1.2431520756493568
2024,2024-01-02,2024-12-31,1.548325751084541,0.5665551566789395,-0.34825610009967034,2.732877342712035,1.548325751084541
2025,2025-01-02,2025-12-31,1.8648500612553027,0.6214232251856576,-0.26534876680625963,3.0009339620323274,1.841018777893345
2026,2026-01-02,2026-04-17,-0.2426535709918678,0.4308198891954083,-0.279383314587034,-0.5632366960704701,-0.07735687929519985
