fold,train_start,train_end,oos_start,oos_end,train_cagr,train_mdd,oos_cagr,oos_vol,oos_mdd,oos_sharpe,oos_net
1,1991-01-02,1995-12-22,1995-12-26,1996-12-20,0.20817974995812683,-0.4545284485922022,0.5693157636049986,0.5977593507634958,-0.3632212379825833,0.9524163241910523,0.5693157636049986
2,1991-12-31,1996-12-20,1996-12-23,1997-12-19,0.14573897271867087,-0.5112640281028349,-0.43023553645902135,0.7586381603401072,-0.5282521304633938,-0.5671156012849937,-0.43023553645902135
3,1992-12-29,1997-12-19,1997-12-22,1998-12-21,0.023676540727609385,-0.5282521304633946,1.079847917908498,0.7105954777003161,-0.378725895725052,1.5196380385126926,1.079847917908498
4,1993-12-28,1998-12-21,1998-12-22,1999-12-21,0.1442133911878456,-0.5693864553312693,3.216900361306073,0.9306764583895301,-0.33829546404373956,3.456518462788553,3.216900361306073
5,1994-12-27,1999-12-21,1999-12-22,2000-12-19,0.43899000079852657,-0.5693864553312689,0.7294821706617929,1.2377023609378193,-0.6036443031136366,0.5893841634987729,0.7294821706617929
6,1995-12-26,2000-12-19,2000-12-20,2001-12-26,0.6844935052306962,-0.6036443031136367,-0.6622564405774896,0.5686311336098644,-0.6766809555446218,-1.1646503355756477,-0.6622564405774896
7,1996-12-23,2001-12-26,2001-12-27,2002-12-26,0.2389240644191737,-0.7731291893199187,-0.19054762468725106,0.5367014609825357,-0.5068424426911717,-0.35503466738923506,-0.19054762468725106
8,1997-12-22,2002-12-26,2002-12-27,2003-12-26,0.32905782652429827,-0.8113006418682216,1.3124902897840047,0.5911404709051251,-0.20689023615097846,2.2202680316818513,1.3124902897840047
9,1998-12-22,2003-12-26,2003-12-29,2004-12-28,0.3575428442044395,-0.8113006418682215,-0.06290175482751581,0.44294114574146765,-0.35920092611825083,-0.1420092836988998,-0.06290175482751581
10,1999-12-22,2004-12-28,2004-12-29,2005-12-27,0.0048746765827243355,-0.8113006418682214,0.0674101880777187,0.36052010206368384,-0.2933044611626072,0.18698038664654287,0.0674101880777187
11,2000-12-20,2005-12-27,2005-12-28,2006-12-27,-0.08757967128361321,-0.7310800099068615,0.9081804907644895,0.4685063611950572,-0.32746280290973107,1.9384592526084807,0.9081804907644895
12,2001-12-27,2006-12-27,2006-12-28,2007-12-28,0.29003480550716154,-0.5068424426911717,0.3281502622102239,0.464257747925397,-0.30511264425108653,0.7068277560829322,0.3281502622102239
13,2002-12-27,2007-12-28,2007-12-31,2008-12-29,0.42433652067447203,-0.39379689875076906,1.2237248725629968,0.5406184143193276,-0.24566622889635448,2.263564910388306,1.2237248725629968
14,2003-12-29,2008-12-29,2008-12-30,2009-12-29,0.41322996448272686,-0.35920092611825083,2.8800084555421233,0.6648489128541964,-0.21437267467664345,4.331823967611298,2.8800084555421233
15,2004-12-29,2009-12-29,2009-12-30,2010-12-29,0.8776833126158285,-0.3274628029097306,1.5864824499706542,0.5847683035419873,-0.3014338401636162,2.7130103330861233,1.5864824499706542
16,2005-12-28,2010-12-29,2010-12-30,2011-12-28,1.2412896471931245,-0.32746280290973107,0.5751330985218612,0.5828400473441838,-0.33276645385194215,0.9867769058467402,0.5751330985218612
17,2006-12-28,2011-12-28,2011-12-29,2012-12-31,1.1569374267803267,-0.3327664538519429,1.0132480778742283,0.6322171827747266,-0.3809373463286534,1.602689875379853,1.0132480778742283
