fold,is_start,is_end,oos_start,oos_end,is_n,oos_n,is_cagr,is_vol,is_mdd,is_sharpe,oos_cagr_opt,oos_vol_opt,oos_mdd_opt,oos_sharpe_opt,oos_net_opt,oos_cagr_canon,oos_net_canon,oos_is_eff,opt_alpha_drawdown_pct,opt_gspc_exit_gamma_pct,opt_uvix_entry_rsi,opt_uvix_exit_rsi,opt_bb_window_days,opt_bb_z_threshold,opt_low_rsi_entry,opt_low_rsi_exit
1,2009-08-21,2014-08-22,2014-08-25,2015-08-24,1260,252,2.43609578125732,0.6062821584003057,-0.39147404157448373,4.01808918092697,0.4879827197808877,0.43419556485695887,-0.21433583931722744,1.1238777161200355,0.4879827197808877,0.50964266927143,0.50964266927143,0.2003134374006549,39.5,0.0,67.5,45.0,20.0,1.5,30.0,40.0
2,2010-08-23,2015-08-24,2015-08-25,2016-08-23,1260,252,1.9088576058025977,0.6078019896146667,-0.3736657543071874,3.1405912425735427,0.3476875139671338,0.5488730197989552,-0.4189709347975692,0.6334571046951571,0.3476875139671338,1.1631243473211614,1.1631243473211614,0.18214429033900895,35.0,0.5,65.0,45.0,10.0,0.9,30.5,40.0
3,2011-08-22,2016-08-23,2016-08-24,2017-08-23,1260,252,1.8609519136414647,0.5469969060171896,-0.31396910541706713,3.402125118387751,0.8693806874687207,0.4080944372277004,-0.18414114014420147,2.1303419212833843,0.8693806874687207,0.5538555592481178,0.5538555592481178,0.46716988284105526,38.5,0.1,67.5,66.0,19.0,1.1,30.0,38.5
4,2012-08-21,2017-08-23,2017-08-24,2018-08-23,1260,252,1.867070545270352,0.49514621932816594,-0.3601697807413421,3.7707458370653977,0.11027012428601735,0.5588280615611235,-0.43104528117896257,0.1973238852357743,0.11027012428601735,0.23347511241323282,0.23347511241323282,0.05906050232828788,39.5,0.0,67.5,66.0,10.0,1.05,28.0,37.5
5,2013-08-23,2018-08-23,2018-08-24,2019-08-26,1260,252,1.9488841920374145,0.5093520486976002,-0.4310452811789627,3.8262027158242713,0.526954236171115,0.6736239532110557,-0.46230546348920676,0.7822676638192718,0.526954236171115,0.28949134335141435,0.28949134335141435,0.27038765993592634,39.0,0.5,66.0,46.5,13.0,1.1,30.0,38.5
6,2014-08-25,2019-08-26,2019-08-27,2020-08-25,1260,252,1.6539170037012543,0.537932408362456,-0.49924961501640897,3.074581449249389,3.425727263034558,1.0233386040909485,-0.49816283608573975,3.347598975881202,3.425727263034558,4.222151568764489,4.222151568764489,2.071281240454158,46.0,0.5,66.0,49.5,13.0,1.1,30.0,37.5
7,2015-08-25,2020-08-25,2020-08-26,2021-08-25,1260,252,2.279000236009283,0.6734083931400286,-0.49816283608573975,3.384276553760427,10.262372526254515,0.7411284322395087,-0.2885670451240725,13.84695564201219,10.262372526254515,8.459215094104245,8.459215094104245,4.503015122203222,42.0,0.6,66.5,57.0,13.0,1.1,31.5,33.0
8,2016-08-24,2021-08-25,2021-08-26,2022-08-25,1260,252,3.53781850486088,0.7349906325737702,-0.49816283608573964,4.8134198560765915,-0.25670590961359696,0.8378369000502853,-0.6768158658899235,-0.3063912673196776,-0.25670590961359696,-0.12203155009566813,-0.12203155009566813,-0.07256050847743858,41.5,0.8,66.0,53.5,12.0,1.0,30.0,33.5
9,2017-08-24,2022-08-25,2022-08-26,2023-08-28,1260,252,2.532601361947817,0.8778827903175529,-0.5887811720733822,2.8848969246016427,-0.25637746737622535,0.5920820715644025,-0.4487105183071499,-0.4330100161601303,-0.25637746737622535,0.014361112201077608,0.014361112201077608,-0.10123088111231454,54.0,0.4,66.5,55.5,13.0,1.1,29.0,30.0
10,2018-08-24,2023-08-28,2023-08-29,2024-08-28,1260,252,2.6023459050046394,0.9382526372642265,-0.615465283628996,2.7736089424620274,-0.36698392338505004,0.6648844016227831,-0.6269384223006835,-0.551951470796055,-0.36698392338505004,1.1382428738349994,1.1382428738349994,-0.1410204241793121,52.0,0.2,65.0,51.5,15.0,1.05,29.5,35.5
11,2019-08-27,2024-08-28,2024-08-29,2025-09-02,1260,252,2.8066893629496685,0.8421284420820416,-0.5582106905003028,3.332851881846589,0.8443699186978868,0.6612822198099269,-0.29227022432955974,1.2768677175995826,0.8443699186978868,1.7740679135898865,1.7740679135898865,0.3008419563077343,67.0,0.9,65.0,45.0,12.0,0.9,31.0,32.5
