n_tqqq_pct,m_soxl_pct,cagr,max_drawdown,annualized_vol,final_multiple,start,end,below_sma_periods,tqqq_triggered_periods,soxl_triggered_periods,base_wait_days,base_tqqq_days,base_soxl_days,uvix_entries,uvix_exits,low_rsi_entries,low_rsi_exits
15.5,24.5,1.558729515067823,-0.7601561138466912,0.7127662523195655,3610228.237585131,2010-03-12,2026-04-17,76,14,9,279,3377,394,142,141,13,13
15.5,25.0,1.558729515067823,-0.7601561138466912,0.7127662523195655,3610228.237585131,2010-03-12,2026-04-17,76,14,9,279,3377,394,142,141,13,13
15.5,25.5,1.558729515067823,-0.7601561138466912,0.7127662523195655,3610228.237585131,2010-03-12,2026-04-17,76,14,9,279,3377,394,142,141,13,13
15.0,24.5,1.557687399715224,-0.7617212140333627,0.7130673332543567,3586669.7096643494,2010-03-12,2026-04-17,76,14,9,275,3381,394,142,141,13,13
15.0,25.0,1.557687399715224,-0.7617212140333627,0.7130673332543567,3586669.7096643494,2010-03-12,2026-04-17,76,14,9,275,3381,394,142,141,13,13
15.0,25.5,1.557687399715224,-0.7617212140333627,0.7130673332543567,3586669.7096643494,2010-03-12,2026-04-17,76,14,9,275,3381,394,142,141,13,13
17.0,24.5,1.549808201212632,-0.7035730293183939,0.7117075779198653,3413158.6018908657,2010-03-12,2026-04-17,76,10,9,335,3321,394,142,141,15,15
17.0,25.0,1.549808201212632,-0.7035730293183939,0.7117075779198653,3413158.6018908657,2010-03-12,2026-04-17,76,10,9,335,3321,394,142,141,15,15
17.0,25.5,1.549808201212632,-0.7035730293183939,0.7117075779198653,3413158.6018908657,2010-03-12,2026-04-17,76,10,9,335,3321,394,142,141,15,15
15.5,28.0,1.5495191639231227,-0.7521182680994465,0.7107209208226649,3406945.8162562265,2010-03-12,2026-04-17,76,15,9,279,3396,375,142,141,13,13
15.5,26.5,1.548907082862642,-0.7521182680994467,0.7109516215237315,3393824.2753398325,2010-03-12,2026-04-17,76,15,9,279,3395,376,142,141,13,13
15.5,27.0,1.548907082862642,-0.7521182680994467,0.7109516215237315,3393824.2753398325,2010-03-12,2026-04-17,76,15,9,279,3395,376,142,141,13,13
15.5,27.5,1.548907082862642,-0.7521182680994467,0.7109516215237315,3393824.2753398325,2010-03-12,2026-04-17,76,15,9,279,3395,376,142,141,13,13
15.0,28.0,1.548480799747924,-0.7537358192119314,0.7110228622057084,3384713.8068499323,2010-03-12,2026-04-17,76,15,9,275,3400,375,142,141,13,13
15.0,26.5,1.5478689679748596,-0.7537358192119316,0.7112534648744597,3371677.8904890195,2010-03-12,2026-04-17,76,15,9,275,3399,376,142,141,13,13
15.0,27.0,1.5478689679748596,-0.7537358192119316,0.7112534648744597,3371677.8904890195,2010-03-12,2026-04-17,76,15,9,275,3399,376,142,141,13,13
15.0,27.5,1.5478689679748596,-0.7537358192119316,0.7112534648744597,3371677.8904890195,2010-03-12,2026-04-17,76,15,9,275,3399,376,142,141,13,13
15.5,16.5,1.5426604140818285,-0.7611193253927204,0.7216958194268639,3262593.4187553306,2010-03-12,2026-04-17,76,6,14,279,3314,457,142,141,13,13
15.5,17.0,1.5424870826131416,-0.761380903546058,0.7219648010393316,3259020.8268620176,2010-03-12,2026-04-17,76,8,13,279,3318,453,142,141,13,13
15.0,16.5,1.5416248433275315,-0.7626781401468353,0.722004928594779,3241303.3802614403,2010-03-12,2026-04-17,76,7,14,275,3318,457,142,141,13,13
