n_tqqq_pct,m_soxl_pct,cagr,max_drawdown,annualized_vol,final_multiple,start,end,below_sma_periods,tqqq_triggered_periods,soxl_triggered_periods,base_wait_days,base_tqqq_days,base_soxl_days,uvix_entries,uvix_exits,low_rsi_entries,low_rsi_exits
15.5,,1.4466359745675166,-0.7335883696704054,0.6447454682826896,1757375.9102276366,2010-03-12,2026-04-17,76,16,0,279,3771,0,142,141,13,13
15.0,,1.4456395124966717,-0.7353268375506902,0.6450781892475806,1745908.161729809,2010-03-12,2026-04-17,76,16,0,275,3775,0,142,141,13,13
17.0,,1.432469438256546,-0.6872948151594294,0.6427402376755087,1600785.3207917318,2010-03-12,2026-04-17,76,13,0,335,3715,0,142,141,15,15
14.5,,1.4286806357931816,-0.7353268375506907,0.6465034100528744,1561180.1478604008,2010-03-12,2026-04-17,76,17,0,255,3795,0,142,141,11,11
14.0,,1.4265264921095597,-0.7353268375506907,0.6466769412559018,1539074.0867800813,2010-03-12,2026-04-17,76,18,0,250,3800,0,142,141,11,11
29.0,,1.4255265498499332,-0.5978344909990516,0.626886871320102,1528912.6350316065,2010-03-12,2026-04-17,76,9,0,415,3635,0,142,141,19,19
13.0,,1.4239742351867144,-0.7262808121604172,0.6479449398882497,1513262.517378914,2010-03-12,2026-04-17,76,19,0,236,3814,0,142,141,11,11
26.5,,1.423882763405401,-0.6021924397863865,0.6268048725673475,1512345.0209158927,2010-03-12,2026-04-17,76,9,0,412,3638,0,142,141,19,19
27.0,,1.423882763405401,-0.6021924397863865,0.6268048725673475,1512345.0209158927,2010-03-12,2026-04-17,76,9,0,412,3638,0,142,141,19,19
27.5,,1.423882763405401,-0.6021924397863865,0.6268048725673475,1512345.0209158927,2010-03-12,2026-04-17,76,9,0,412,3638,0,142,141,19,19
