stage,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,seed
local,1.6620155370390632,40.5,0.8,66.0,60.0,14.0,1.1,30.0,34.5,
local,1.6618695285397567,40.5,0.9,66.5,63.5,14.0,1.1,30.0,38.0,
local,1.6618695285397567,40.5,0.9,66.5,63.5,14.0,1.1,29.5,38.0,
local,1.6618695285397567,40.5,0.9,66.5,64.5,14.0,1.1,30.0,38.0,
local,1.6618695285397567,40.5,0.9,66.5,63.0,14.0,1.1,30.0,38.0,
local,1.6618695285397567,40.5,0.9,66.5,64.0,14.0,1.1,30.0,38.0,
local,1.6616677009904026,40.5,0.9,66.5,63.5,14.0,1.1,30.0,37.5,
local,1.6573014474616263,40.5,0.9,66.5,63.5,14.0,1.1,30.0,38.5,
local,1.657058673086226,40.5,0.9,66.5,63.5,14.0,1.1,30.0,37.0,
local,1.6567321136880149,40.5,0.9,66.5,63.5,14.0,1.1,30.0,39.0,
local,1.6544580070184405,40.5,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.6544580070184405,40.5,0.9,66.5,60.0,14.0,1.1,29.5,38.0,
local,1.6542567414234606,40.5,0.9,66.5,60.0,14.0,1.1,30.0,37.5,
local,1.653821678094097,40.5,0.7,66.0,60.0,14.0,1.1,30.0,34.5,
local,1.6530047847227802,40.5,0.8,66.0,62.5,14.0,1.1,29.5,38.0,
local,1.6530047847227802,40.5,0.8,66.0,62.5,14.0,1.1,30.0,38.0,
local,1.6530047847227802,40.5,0.8,66.0,61.5,14.0,1.1,29.5,38.0,
local,1.6530047847227802,40.5,0.8,66.0,63.5,14.0,1.1,29.5,38.0,
local,1.6530047847227802,40.5,0.8,66.0,62.0,14.0,1.1,29.5,38.0,
local,1.6530047847227802,40.5,0.8,66.0,63.0,14.0,1.1,29.5,38.0,
local,1.6528036293136266,40.5,0.8,66.0,62.5,14.0,1.1,29.5,37.5,
local,1.6513714822851053,40.5,0.8,66.0,61.0,14.0,1.1,30.0,34.5,
local,1.6513714822851053,40.5,0.8,66.0,60.5,14.0,1.1,30.0,34.5,
local,1.6513205564894973,40.5,0.8,66.0,60.0,14.0,1.1,30.5,34.5,
local,1.6511751345976076,40.5,0.9,66.5,63.5,14.0,1.1,30.5,38.0,
local,1.6505876225055118,40.5,0.7,66.0,62.5,14.0,1.1,29.5,38.0,
local,1.6500064044423608,40.5,0.8,66.0,60.0,14.0,1.1,29.5,34.5,
local,1.6499326561585468,40.5,0.9,66.5,62.5,14.0,1.1,30.0,38.0,
local,1.6499040290095683,40.5,0.8,66.0,60.0,14.0,1.15,30.0,34.5,
local,1.649902644982645,40.5,0.9,66.5,60.0,14.0,1.1,30.0,38.5,
local,1.64966054657107,40.5,0.9,66.5,60.0,14.0,1.1,30.0,37.0,
local,1.6493348964217835,40.5,0.9,66.5,60.0,14.0,1.1,30.0,39.0,
local,1.6484519165873048,40.5,0.8,66.0,62.5,14.0,1.1,29.5,38.5,
local,1.6482099507160868,40.5,0.8,66.0,62.5,14.0,1.1,29.5,37.0,
local,1.6478844788487899,40.5,0.8,66.0,62.5,14.0,1.1,29.5,39.0,
local,1.6473950784844584,40.5,0.9,66.5,63.5,14.0,1.1,30.0,33.0,
local,1.6473950784844584,40.5,0.9,66.5,64.5,14.0,1.1,30.0,33.0,
local,1.6473950784844584,40.5,0.9,66.5,63.0,14.0,1.1,30.0,33.0,
local,1.6473950784844584,40.5,0.9,66.5,64.0,14.0,1.1,30.0,33.0,
local,1.646321653757751,40.5,0.8,66.0,60.0,14.0,1.05,30.0,34.5,
local,1.6461765060499438,40.5,0.9,66.5,63.5,14.0,1.05,30.0,38.0,
local,1.6461765060499438,40.5,0.9,66.5,63.0,14.0,1.05,30.0,38.0,
local,1.6461765060499438,40.5,0.9,66.5,64.0,14.0,1.05,30.0,38.0,
local,1.6461765060499438,40.5,0.9,66.5,63.5,14.0,1.05,29.5,38.0,
local,1.6460932251574238,40.5,0.9,66.5,61.0,14.0,1.1,30.0,38.0,
local,1.6459758683726844,40.5,0.9,66.5,63.5,14.0,1.05,30.0,37.5,
local,1.6453472804283038,40.5,0.7,66.5,63.5,14.0,1.1,30.0,38.0,
local,1.644875823185092,40.5,0.8,66.0,60.0,14.0,1.1,30.0,33.5,
local,1.6448453504719627,40.5,0.8,66.0,60.0,14.0,1.1,30.0,34.0,
local,1.6444529123148728,40.5,0.8,66.0,60.0,14.0,1.1,30.0,35.0,
local,1.6441470043856428,40.5,0.8,66.0,60.0,14.0,1.1,30.0,35.5,
local,1.6439139298919767,40.0,0.8,66.0,60.0,14.0,1.1,30.0,34.5,
local,1.6438441710074705,40.5,0.9,66.5,60.5,14.0,1.1,30.0,38.0,
local,1.6437933897914956,40.5,0.9,66.5,60.0,14.0,1.1,30.5,38.0,
local,1.6437689142450624,40.0,0.9,66.5,63.5,14.0,1.1,30.0,38.0,
local,1.6431025461860487,40.5,0.9,66.5,63.5,14.0,1.1,30.0,33.5,
local,1.6431025461860487,40.5,0.9,66.5,63.0,14.0,1.1,30.0,33.5,
local,1.6431025461860487,40.5,0.9,66.5,64.0,14.0,1.1,30.0,33.5,
local,1.6430720939035806,40.5,0.9,66.5,63.5,14.0,1.1,30.0,34.0,
local,1.6430720939035806,40.5,0.9,66.5,63.0,14.0,1.1,30.0,34.0,
local,1.6430720939035806,40.5,0.9,66.5,64.0,14.0,1.1,30.0,34.0,
,1.642679918859622,40.5,0.9,66.5,63.5,14.0,1.1,30.0,35.0,11
local,1.642679918859622,40.5,0.9,66.5,64.5,14.0,1.1,30.0,35.0,
local,1.6423460059982657,40.5,0.8,66.0,62.5,14.0,1.1,30.5,38.0,
local,1.641747450083078,40.5,0.7,66.0,60.0,14.0,1.15,30.0,34.5,
