seed,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,stage
11,1.6818295608676053,40.5,0.7,66.5,57.0,14.0,1.1,29.5,38.0,
11,1.6818295608676053,40.5,0.7,66.5,56.5,14.0,1.1,30.0,38.0,
29,1.6818295608676053,40.5,0.7,66.5,58.5,14.0,1.1,30.0,38.0,
29,1.6818295608676053,40.5,0.7,66.5,56.0,14.0,1.1,30.0,38.0,
47,1.6818295608676053,40.5,0.7,66.5,58.0,14.0,1.1,30.0,38.0,
71,1.6818295608676053,40.5,0.7,66.5,57.5,14.0,1.1,29.5,38.0,
97,1.6818295608676053,40.5,0.7,66.5,55.5,14.0,1.1,29.5,38.0,
131,1.6818295608676053,40.5,0.7,66.5,57.5,14.0,1.1,30.0,38.0,
,1.6818295608676053,40.5,0.7,66.5,56.0,14.0,1.1,29.5,38.0,local
,1.6818295608676053,40.5,0.7,66.5,58.0,14.0,1.1,29.5,38.0,local
,1.6818295608676053,40.5,0.7,66.5,56.5,14.0,1.1,29.5,38.0,local
,1.6818295608676053,40.5,0.7,66.5,57.0,14.0,1.1,30.0,38.0,local
,1.6818295608676053,40.5,0.7,66.5,55.5,14.0,1.1,30.0,38.0,local
,1.6818295608676053,40.5,0.7,66.5,58.5,14.0,1.1,29.5,38.0,local
11,1.6816262199140937,40.5,0.7,66.5,57.0,14.0,1.1,30.0,37.5,
29,1.6816262199140937,40.5,0.7,66.5,55.5,14.0,1.1,29.5,37.5,
47,1.6816262199140937,40.5,0.7,66.5,57.0,14.0,1.1,29.5,37.5,
47,1.6816262199140937,40.5,0.7,66.5,57.5,14.0,1.1,30.0,37.5,
71,1.6816262199140937,40.5,0.7,66.5,55.5,14.0,1.1,30.0,37.5,
71,1.6816262199140937,40.5,0.7,66.5,58.0,14.0,1.1,29.5,37.5,
97,1.6816262199140937,40.5,0.7,66.5,56.0,14.0,1.1,30.0,37.5,
97,1.6816262199140937,40.5,0.7,66.5,56.5,14.0,1.1,29.5,37.5,
,1.6816262199140937,40.5,0.7,66.5,56.5,14.0,1.1,30.0,37.5,local
,1.6816262199140937,40.5,0.7,66.5,58.5,14.0,1.1,30.0,37.5,local
,1.6816262199140937,40.5,0.7,66.5,58.0,14.0,1.1,30.0,37.5,local
,1.6816262199140937,40.5,0.7,66.5,57.5,14.0,1.1,29.5,37.5,local
97,1.680178512673339,40.5,0.7,66.5,56.0,14.0,1.1,30.0,34.5,
,1.6783256064333925,40.5,0.7,66.5,55.0,14.0,1.1,30.0,38.0,local
,1.6783256064333925,40.5,0.7,66.5,54.5,14.0,1.1,29.5,38.0,local
,1.6783256064333925,40.5,0.7,66.5,55.0,14.0,1.1,29.5,38.0,local
97,1.6781225311557635,40.5,0.7,66.5,55.0,14.0,1.1,29.5,37.5,
11,1.6772272260272159,40.5,0.7,66.5,56.0,14.0,1.1,30.0,38.5,
11,1.6772272260272159,40.5,0.7,66.5,57.0,14.0,1.1,29.5,38.5,
11,1.6772272260272159,40.5,0.7,66.5,58.5,14.0,1.1,30.0,38.5,
11,1.6772272260272159,40.5,0.7,66.5,56.5,14.0,1.1,30.0,38.5,
11,1.6772272260272159,40.5,0.7,66.5,55.5,14.0,1.1,30.0,38.5,
71,1.6772272260272159,40.5,0.7,66.5,55.5,14.0,1.1,29.5,38.5,
131,1.6772272260272159,40.5,0.7,66.5,57.0,14.0,1.1,30.0,38.5,
,1.6772272260272159,40.5,0.7,66.5,58.0,14.0,1.1,30.0,38.5,local
,1.6772272260272159,40.5,0.7,66.5,57.5,14.0,1.1,29.5,38.5,local
,1.6772272260272159,40.5,0.7,66.5,57.5,14.0,1.1,30.0,38.5,local
11,1.676982631207827,40.5,0.7,66.5,58.5,14.0,1.1,30.0,37.0,
29,1.676982631207827,40.5,0.7,66.5,57.0,14.0,1.1,29.5,37.0,
71,1.676982631207827,40.5,0.7,66.5,56.0,14.0,1.1,29.5,37.0,
