mode,train_start,train_end,test_year,train_cagr,test_cagr,test_mdd,canonical_same_year_cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit
anchored_walk_forward,2010,2014,2015,2.1946362841912403,0.39553791113613057,-0.2207221529586978,0.39553791113613057,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2015,2016,1.803819501899207,1.2312403091760675,-0.21750603376558342,1.7715598099509449,40.5,0.1,68.0,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2016,2017,1.81418072783472,0.8224725170942246,-0.24971732004225067,0.8224725170942246,40.5,0.0,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2017,2018,1.6637429725357613,0.04377529423261839,-0.45211032151576525,0.04377529423261839,40.5,0.0,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2018,2019,1.397826766709302,2.9635499959429774,-0.3042770665731952,4.120912936269561,40.5,0.0,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2019,2020,1.5638659977751654,8.974566564294566,-0.49816283608573975,8.974566564294566,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2020,2021,1.9063869217595033,4.042001182965393,-0.3043321944415952,4.042001182965393,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2021,2022,2.044369709823498,-0.7478572058183846,-0.7698235991868736,-0.7478572058183846,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2022,2023,1.5106760798797287,2.0136511672366746,-0.29288399051977554,2.0136511672366746,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2023,2024,1.5436939777955843,1.5483257510845228,-0.3482561000996709,1.5483257510845228,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2024,2025,1.5440053010319614,2.4102894799844203,-0.36787269649033005,2.4102894799844203,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
anchored_walk_forward,2010,2025,2026,1.5910783858868256,-0.2426535709918728,-0.27938331458703514,-0.2426535709918728,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
rolling_5y_walk_forward,2010,2014,2015,2.1946362841912403,0.39553791113613057,-0.2207221529586978,0.39553791113613057,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
rolling_5y_walk_forward,2011,2015,2016,1.4615331114817618,1.1142737278748136,-0.22008858577239265,1.7715598099509449,37.5,0.0,68.0,65.0,20,1.6,30.0,32.5
rolling_5y_walk_forward,2012,2016,2017,1.4620368760566724,0.8224725170942246,-0.24971732004225067,0.8224725170942246,40.5,0.0,67.5,65.0,20,1.6,30.0,32.5
rolling_5y_walk_forward,2013,2017,2018,1.5296892079432047,-0.03782458722370152,-0.45211032151576525,0.04377529423261839,40.5,0.0,67.5,65.0,15,1.4,30.0,32.5
rolling_5y_walk_forward,2014,2018,2019,0.9319710045318277,2.287874673483791,-0.3042770665731954,4.120912936269561,40.5,0.0,67.0,66.0,15,1.4,30.0,32.5
rolling_5y_walk_forward,2015,2019,2020,1.0677374925567293,8.974566564294566,-0.49816283608573975,8.974566564294566,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
rolling_5y_walk_forward,2016,2020,2021,2.09292038335197,3.343756832640124,-0.3043321944415952,4.042001182965393,40.5,0.1,67.5,66.0,20,1.4,30.0,32.5
rolling_5y_walk_forward,2017,2021,2022,2.4595642482657034,-0.7478572058183846,-0.7698235991868736,-0.7478572058183846,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
rolling_5y_walk_forward,2018,2022,2023,1.3321922844778022,2.0136511672366746,-0.29288399051977554,2.0136511672366746,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5
rolling_5y_walk_forward,2019,2023,2024,1.9151003942350187,1.5483257510845228,-0.3482561000996709,1.5483257510845228,43.0,0.1,67.5,66.0,20,1.6,30.0,32.5
rolling_5y_walk_forward,2020,2024,2025,1.6071121123764365,2.0525166589867214,-0.28540016870893026,2.4102894799844203,43.0,0.0,67.5,65.0,15,1.4,30.0,32.5
rolling_5y_walk_forward,2021,2025,2026,1.178088262853323,-0.2426535709918728,-0.27938331458703514,-0.2426535709918728,43.0,0.1,67.0,66.0,20,1.6,30.0,32.5
