n_tqqq_pct,m_soxl_pct,cagr,annualized_vol,max_drawdown,final_multiple,start,end,uvix_entries,uvix_exits,uvix_gspc_profit_exit_only,uvix_rsi_exit_only,uvix_rsi_and_gspc_profit_exit,low_rsi_entries,low_rsi_exits,skipped_uvix_entry_days,below_sma_periods,tqqq_triggered_periods,soxl_triggered_periods,base_wait_days,base_tqqq_days,base_soxl_days,annual_fee,financing_multiplier,overlap_days,overlap_log_mse,first_actual_soxl_date,benchmark_before_switch,benchmark_after_switch,switch_date
17.0,28.0,1.1729038221408419,0.7537312288572569,-0.9320301496281738,6872383.140273216,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,15,11,441,4009,662,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,27.0,1.1694378188544934,0.753947746457971,-0.9320301496281738,6653395.451439724,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,15,11,441,4001,670,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,27.5,1.1694378188544934,0.753947746457971,-0.9320301496281738,6653395.451439724,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,15,11,441,4001,670,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.5,28.0,1.169254986512132,0.7544426816600291,-0.9321918210867285,6642030.0034260675,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,11,384,4066,662,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,28.5,1.1659922194224097,0.7539875279792962,-0.9320301496281738,6442283.225190895,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,15,11,441,4010,661,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.5,27.0,1.1653828395890953,0.754831080426804,-0.9320301496281738,6405615.537795998,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,11,384,4058,670,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.5,27.5,1.1653828395890953,0.754831080426804,-0.9320301496281738,6405615.537795998,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,11,384,4058,670,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.0,28.0,1.1644283704078018,0.7551359533648276,-0.9347619116755278,6348581.582485018,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,11,378,4072,662,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,29.0,1.1634089454009633,0.754014052200974,-0.9320301496281738,6288199.536323121,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,15,11,441,4011,660,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.5,28.5,1.1623549900608499,0.7546987267270394,-0.9321918210867285,6226346.465104883,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,11,384,4067,661,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.0,27.0,1.1605648390540781,0.755523982393398,-0.9345247453025379,6122612.033784017,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,11,378,4064,670,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.0,27.5,1.1605648390540781,0.755523982393398,-0.9345247453025379,6122612.033784017,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,11,378,4064,670,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.5,29.0,1.1597760539867124,0.7547252209586277,-0.9321918210867285,6077427.456427826,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,11,384,4068,660,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,24.5,1.1593156246581553,0.7554459447050467,-0.9360749247387786,6051199.055802692,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,14,11,441,3976,695,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,25.0,1.1593156246581553,0.7554459447050467,-0.9360749247387786,6051199.055802692,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,14,11,441,3976,695,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,25.5,1.1593156246581553,0.7554459447050467,-0.9360749247387786,6051199.055802692,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,14,11,441,3976,695,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,32.0,1.157684597253267,0.745048196798454,-0.9225178999007043,5959150.567874473,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,16,9,441,4108,563,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
17.0,32.5,1.157684597253267,0.745048196798454,-0.9225178999007043,5959150.567874473,2005-12-20,2026-04-17,160,159,79,19,61,18,18,132,92,16,9,441,4108,563,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.5,32.0,1.1576040672208254,0.7465107657594853,-0.9225178999007043,5954640.445946443,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,9,384,4165,563,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
15.5,32.5,1.1576040672208254,0.7465107657594853,-0.9225178999007043,5954640.445946443,2005-12-20,2026-04-17,160,159,79,19,61,16,16,132,92,19,9,384,4165,563,0.0075,0.0,4058,0.047217812435010435,2010-03-11,^SOX,SOXX,2021-08-25
