uvix_entry_rsi,uvix_exit_rsi_gap,uvix_exit_rsi,bb_window,uvix_bb_min_z,calmar_like,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,uvix_exits,uvix_day_share,low_rsi_entries,low_rsi_exits,low_rsi_day_share,episode_count,episode_win_rate,episode_avg_return_pct,episode_median_return_pct
69.0,1.0,68.0,21,1.5,1.660995778357568,1.0998195353217444,0.6367107091095203,-0.6621446903430857,159300.09855995968,118,117,0.08527893831408208,11,11,0.005898255099533055,95,0.631578947368421,3.5205239403407527,2.344669770414476
69.0,1.0,68.0,20,1.5,1.674278489310903,1.0996721901429436,0.6361583663355607,-0.6568036304375773,159119.70278153376,117,116,0.0855246989432293,11,11,0.005898255099533055,93,0.6451612903225806,3.7091659246145,2.508148605051219
69.0,1.0,68.0,21,1.7,1.6561636970994764,1.0877743288538562,0.6279509895963686,-0.6568036304375773,145169.2109041309,100,99,0.07053330056524945,11,11,0.005898255099533055,85,0.6705882352941176,3.980489840528291,2.508148605051219
69.0,2.0,67.0,21,1.5,1.6289510878680884,1.0786013136604482,0.6384473782655703,-0.6621446903430859,135206.02375343622,116,115,0.09166871467190955,11,11,0.005898255099533055,93,0.6344086021505376,3.6504757228744076,2.500685484671905
69.0,1.0,68.0,20,1.7,1.6337604293896997,1.0730597812884102,0.625853975002855,-0.6568036304375775,129501.8208890943,98,97,0.07028753993610223,11,11,0.005898255099533055,83,0.6867469879518072,4.108075646155377,3.0941502907246177
70.0,1.0,69.0,20,1.5,1.631660611032088,1.0716806129678713,0.6288172731244346,-0.6568036304375775,128117.67568445018,97,96,0.06832145490292456,11,11,0.005898255099533055,78,0.6923076923076923,4.887989694421691,5.066145280398593
70.0,1.0,69.0,21,1.5,1.6300482848670264,1.0706216312892094,0.6289629534908827,-0.6568036304375775,127064.3046848248,98,97,0.06832145490292456,11,11,0.005898255099533055,79,0.6708860759493671,4.680003483670689,3.440716688657597
69.0,2.0,67.0,20,1.5,1.623833661447297,1.0665398440653284,0.6378178424525414,-0.6568036304375773,123079.67019865538,114,113,0.09216023593020398,11,11,0.005898255099533055,90,0.6444444444444445,3.8498001378957376,2.8918687679188926
70.0,1.0,69.0,21,1.7,1.5951469140025847,1.0476982841981957,0.6233053145074664,-0.6568036304375774,106159.09589512933,81,80,0.056524944703858444,11,11,0.005898255099533055,68,0.7058823529411765,5.3765366965511205,4.459354685176908
70.0,2.0,68.0,20,1.5,1.59165645232362,1.0454057362955487,0.6305685031573323,-0.6568036304375775,104256.18580336578,93,92,0.07102482182354387,11,11,0.005898255099533055,75,0.68,4.428325408833789,4.942341918160298
70.0,2.0,68.0,21,1.5,1.5900645750978748,1.044360185554468,0.630713750231052,-0.6568036304375773,103399.00163989763,94,93,0.07102482182354387,11,11,0.005898255099533055,76,0.6578947368421053,4.20007963152666,3.7265512973662984
69.0,2.0,67.0,21,1.7,1.5871034785027776,1.0424153265607323,0.629127675648969,-0.6568036304375777,101822.0878168434,98,97,0.0764315556647825,11,11,0.005898255099533055,83,0.6506024096385542,3.9605865288480957,2.508148605051219
69.0,2.0,67.0,20,1.7,1.5766064059705824,1.0355208112126197,0.6275490855528041,-0.6568036304375775,96411.79336214995,98,97,0.07667731629392971,11,11,0.005898255099533055,83,0.6746987951807228,4.1170437188152595,2.7546227585550254
70.0,1.0,69.0,20,1.7,1.5663180043517069,1.0287633516779424,0.6213490691147268,-0.6568036304375775,91371.68359401,80,79,0.056524944703858444,11,11,0.005898255099533055,67,0.7164179104477612,5.414544360492527,4.4853545565187725
70.0,2.0,68.0,21,1.7,1.5458085662640526,1.0152926782837364,0.6255787261217017,-0.6568036304375775,82053.02553369905,79,78,0.06070287539936102,11,11,0.005898255099533055,67,0.6716417910447762,4.446814736779939,4.039056942957586
70.0,2.0,68.0,20,1.7,1.517435885097763,0.9966573982884688,0.623628645747362,-0.6568036304375771,70623.46399787278,78,77,0.06070287539936102,11,11,0.005898255099533055,66,0.6818181818181818,4.47131157805726,4.236205878396316
