Date,TQQQ_OPEN,TQQQ_CLOSE,TQQQ_CTO_RETURN,TQQQ_OTC_RETURN,TQQQ_RETURN,TQQQ_CC_RETURN_REBUILT,TQQQ_SOURCE,TMF_OPEN,TMF_CLOSE,TMF_CTO_RETURN,TMF_OTC_RETURN,TMF_RETURN,TMF_CC_RETURN_REBUILT,TMF_SOURCE,GLD_OPEN,GLD_CLOSE,GLD_CTO_RETURN,GLD_OTC_RETURN,GLD_RETURN,GLD_CC_RETURN_REBUILT,GLD_SOURCE
1990-01-02,,,,,,,,,,,,,,,,,,,,,missing
1990-01-03,,,,,,,,,,,,,,,,,,,,,missing
1990-01-04,,,,,,,,,,,,,,,,,,,,,missing
1990-01-05,,,,,,,,,,,,,,,,,,,,,missing
1990-01-08,,,,,,,,,,,,,,,,,,,,,missing
1990-01-09,,,,,,,,,,,,,,,,,,,,,missing
1990-01-10,,,,,,,,,,,,,,,,,,,,,missing
1990-01-11,,,,,,,,,,,,,,,,,,,,,missing
1990-01-12,,,,,,,,,,,,,,,,,,,,,missing
1990-01-15,,,,,,,,,,,,,,,,,,,,,missing
1990-01-16,,,,,,,,,,,,,,,,,,,,,missing
1990-01-17,,,,,,,,,,,,,,,,,,,,,missing
1990-01-18,,,,,,,,,,,,,,,,,,,,,missing
1990-01-19,,,,,,,,,,,,,,,,,,,,,missing
1990-01-22,,,,,,,,,,,,,,,,,,,,,missing
1990-01-23,,,,,,,,,,,,,,,,,,,,,missing
1990-01-24,,,,,,,,,,,,,,,,,,,,,missing
1990-01-25,,,,,,,,,,,,,,,,,,,,,missing
1990-01-26,,,,,,,,,,,,,,,,,,,,,missing
1990-01-29,,,,,,,,,,,,,,,,,,,,,missing
1990-01-30,,,,,,,,,,,,,,,,,,,,,missing
1990-01-31,,,,,,,,,,,,,,,,,,,,,missing
1990-02-01,,,,,,,,,,,,,,,,,,,,,missing
1990-02-02,,,,,,,,,,,,,,,,,,,,,missing
1990-02-05,,,,,,,,,,,,,,,,,,,,,missing
1990-02-06,,,,,,,,,,,,,,,,,,,,,missing
1990-02-07,,,,,,,,,,,,,,,,,,,,,missing
1990-02-08,,,,,,,,,,,,,,,,,,,,,missing
1990-02-09,,,,,,,,,,,,,,,,,,,,,missing
1990-02-12,,,,,,,,,,,,,,,,,,,,,missing
1990-02-13,,,,,,,,,,,,,,,,,,,,,missing
1990-02-14,,,,,,,,,,,,,,,,,,,,,missing
1990-02-15,,,,,,,,,,,,,,,,,,,,,missing
1990-02-16,,,,,,,,,,,,,,,,,,,,,missing
1990-02-20,,,,,,,,,,,,,,,,,,,,,missing
1990-02-21,,,,,,,,,,,,,,,,,,,,,missing
1990-02-22,,,,,,,,,,,,,,,,,,,,,missing
1990-02-23,,,,,,,,,,,,,,,,,,,,,missing
1990-02-26,,,,,,,,,,,,,,,,,,,,,missing
1990-02-27,,,,,,,,,,,,,,,,,,,,,missing
1990-02-28,,,,,,,,,,,,,,,,,,,,,missing
1990-03-01,,,,,,,,,,,,,,,,,,,,,missing
1990-03-02,,,,,,,,,,,,,,,,,,,,,missing
1990-03-05,,,,,,,,,,,,,,,,,,,,,missing
1990-03-06,,,,,,,,,,,,,,,,,,,,,missing
1990-03-07,,,,,,,,,,,,,,,,,,,,,missing
1990-03-08,,,,,,,,,,,,,,,,,,,,,missing
1990-03-09,,,,,,,,,,,,,,,,,,,,,missing
1990-03-12,,,,,,,,,,,,,,,,,,,,,missing
1990-03-13,,,,,,,,,,,,,,,,,,,,,missing
1990-03-14,,,,,,,,,,,,,,,,,,,,,missing
1990-03-15,,,,,,,,,,,,,,,,,,,,,missing
1990-03-16,,,,,,,,,,,,,,,,,,,,,missing
1990-03-19,,,,,,,,,,,,,,,,,,,,,missing
1990-03-20,,,,,,,,,,,,,,,,,,,,,missing
1990-03-21,,,,,,,,,,,,,,,,,,,,,missing
1990-03-22,,,,,,,,,,,,,,,,,,,,,missing
1990-03-23,,,,,,,,,,,,,,,,,,,,,missing
1990-03-26,,,,,,,,,,,,,,,,,,,,,missing
1990-03-27,,,,,,,,,,,,,,,,,,,,,missing
1990-03-28,,,,,,,,,,,,,,,,,,,,,missing
1990-03-29,,,,,,,,,,,,,,,,,,,,,missing
1990-03-30,,,,,,,,,,,,,,,,,,,,,missing
1990-04-02,,,,,,,,,,,,,,,,,,,,,missing
1990-04-03,,,,,,,,,,,,,,,,,,,,,missing
1990-04-04,,,,,,,,,,,,,,,,,,,,,missing
1990-04-05,,,,,,,,,,,,,,,,,,,,,missing
1990-04-06,,,,,,,,,,,,,,,,,,,,,missing
1990-04-09,,,,,,,,,,,,,,,,,,,,,missing
1990-04-10,,,,,,,,,,,,,,,,,,,,,missing
1990-04-11,,,,,,,,,,,,,,,,,,,,,missing
1990-04-12,,,,,,,,,,,,,,,,,,,,,missing
1990-04-16,,,,,,,,,,,,,,,,,,,,,missing
1990-04-17,,,,,,,,,,,,,,,,,,,,,missing
1990-04-18,,,,,,,,,,,,,,,,,,,,,missing
1990-04-19,,,,,,,,,,,,,,,,,,,,,missing
1990-04-20,,,,,,,,,,,,,,,,,,,,,missing
1990-04-23,,,,,,,,,,,,,,,,,,,,,missing
1990-04-24,,,,,,,,,,,,,,,,,,,,,missing
1990-04-25,,,,,,,,,,,,,,,,,,,,,missing
1990-04-26,,,,,,,,,,,,,,,,,,,,,missing
1990-04-27,,,,,,,,,,,,,,,,,,,,,missing
1990-04-30,,,,,,,,,,,,,,,,,,,,,missing
1990-05-01,,,,,,,,,,,,,,,,,,,,,missing
1990-05-02,,,,,,,,,,,,,,,,,,,,,missing
1990-05-03,,,,,,,,,,,,,,,,,,,,,missing
1990-05-04,,,,,,,,,,,,,,,,,,,,,missing
