Date,signal_open,signal_sma_open,signal_below_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,strategy_return
2010-02-12,37.56539236122148,36.37523818528986,False,,above,above,0.004092164272333276
2010-02-16,38.25977336503637,36.42018612692366,False,,above,above,0.038736173471820345
2010-02-17,38.64165735392727,36.46578610242338,False,,above,above,0.016970007341968074
2010-02-18,38.659019288738016,36.510842655955,False,,above,above,0.01895814052934308
2010-02-19,38.82394551413665,36.558232244798134,False,,above,above,0.0
2010-02-22,39.066946335265165,36.61032983255653,False,,above,above,-0.007020297042985568
2010-02-23,38.806567582812626,36.65982075577805,False,,above,above,-0.0390419217520106
2010-02-24,38.528834887046486,36.710818228545904,False,,above,above,0.030240182740999932
2010-02-25,38.311828504738315,36.763662540234236,False,,above,above,-0.0005700939572830244
2010-02-26,38.70240844227636,36.81992532393198,False,,above,above,0.012474990532172603
2010-03-01,39.02357049285897,36.875810607988356,False,,above,above,0.042894115141727696
2010-03-02,39.55302705630791,36.93289888440725,False,,above,above,0.006012254372556036
2010-03-03,39.63114614397147,36.98722231804765,False,,above,above,0.005554155095777391
2010-03-04,39.605089307990426,37.03467341736683,False,,above,above,0.011039111653239342
2010-03-05,40.00435831905292,37.08321572559332,False,,above,above,0.044201820539013115
2010-03-08,40.32550773493194,37.13393094300427,False,,above,above,0.005332519746628517
2010-03-09,40.29947923056406,37.18101665218871,False,,above,above,0.017701847459578035
2010-03-10,40.63797189146716,37.23038433798591,False,,above,above,0.024470539070320818
2010-03-11,40.84627035991179,37.27926830523559,False,,above,above,0.009209433282397095
2010-03-12,41.22819980282139,37.32561488650109,False,,above,above,0.0022812056695482585
2010-03-15,41.01988165547267,37.36995014802676,False,,above,above,-0.006733828757515603
2010-03-16,41.13271713064912,37.414018321025296,False,,above,above,0.018908568995122055
2010-03-17,41.32366445900104,37.46166295280314,False,,above,above,0.006934629472456821
2010-03-18,41.410452501118456,37.50795520926602,False,,above,above,0.010142278299546614
2010-03-19,41.637130621086705,37.55474517272792,False,,above,above,-0.017689275513595226
2010-03-22,41.0984283854701,37.59583140398695,False,,above,above,0.027011900215292428
2010-03-23,41.697949152852416,37.64317450959028,False,,above,above,0.020914481186861567
2010-03-24,41.85434935798545,37.689540113403794,False,,above,above,-0.014224216572644943
2010-03-25,42.07157182960799,37.73671422304393,False,,above,above,-0.006261694966391729
2010-03-26,41.8369652535639,37.782577953801876,False,,above,above,0.005207249038215345
2010-03-29,41.91517725124714,37.82796283305528,False,,above,above,0.013716039710269579
2010-03-30,42.036802843194046,37.87638312922779,False,,above,above,0.01048548672191063
2010-03-31,41.91518146165593,37.925991519190895,False,,above,above,-0.013479002374436555
2010-04-01,42.01944715050644,37.97246236691051,False,,above,above,-0.00197798153883888
2010-04-05,41.94124164261911,38.01660248873622,False,,above,above,0.028912632951761275
2010-04-06,42.14107720790765,38.067412890043016,False,,above,above,0.007617141228158264
2010-04-07,42.29747588008646,38.12493418495916,False,,above,above,-0.005648014752191566
2010-04-08,42.1324025206613,38.17681883636418,False,,above,above,0.0035831591833239695
2010-04-09,42.3583167288056,38.23028370334043,False,,above,above,0.018019780754157777
2010-04-12,42.618970560575505,38.28305173918322,False,,above,above,0.004019667504773672
2010-04-13,42.592907005262205,38.33137748274773,False,,above,above,0.015078834504529848
2010-04-14,43.079487127348365,38.38448126491336,False,,above,above,0.035242108696548424
2010-04-15,43.33146022422441,38.43867359898136,False,,above,above,0.013374634947572295
2010-04-16,43.40098380430378,38.49329906698216,False,,above,above,-0.03559546059709151
2010-04-19,42.87965606119204,38.540432347262026,False,,above,above,-0.0015733731035190157
2010-04-20,43.24457008839233,38.59272529080514,False,,above,above,0.014785054735754644
2010-04-21,43.52262018460752,38.648051112787094,False,,above,above,0.017599911740855623
2010-04-22,43.05339606673328,38.70428503652853,False,,above,above,0.014802817999693518
2010-04-23,43.705098927342846,38.769207393007505,False,,above,above,0.013238130767937228
2010-04-26,43.93968882906249,38.831256861410274,False,,above,above,-0.007432290963821253
