series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share,signal_window,below_entry_drawdown_pct
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.0
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.1
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.2
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.3
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.4
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.5
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.6
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.7
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.8
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,58.9
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.0
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.1
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.2
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.3
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.4
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.5
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.6
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.7
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.8
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,59.9
strategy,17.355410828146553,0.4689693740194176,-0.2792726274720462,3.99158348608983e+30,37.007556974131866,1638,0.0,0.42110437489759134,5,60.0
strategy,14.373240747991863,0.4698610382228914,-0.27927262747204606,5.394705879341686e+28,30.59040775620456,1482,0.0,0.4133071124221567,6,58.0
strategy,14.373240747991863,0.4698610382228914,-0.27927262747204606,5.394705879341686e+28,30.59040775620456,1482,0.0,0.4133071124221567,6,58.1
strategy,14.373240747991863,0.4698610382228914,-0.27927262747204606,5.394705879341686e+28,30.59040775620456,1482,0.0,0.4133071124221567,6,58.2
strategy,14.373240747991863,0.4698610382228914,-0.27927262747204606,5.394705879341686e+28,30.59040775620456,1482,0.0,0.4133071124221567,6,58.3
strategy,14.373240747991863,0.4698610382228914,-0.27927262747204606,5.394705879341686e+28,30.59040775620456,1482,0.0,0.4133071124221567,6,58.4
strategy,14.373240747991863,0.4698610382228914,-0.27927262747204606,5.394705879341686e+28,30.59040775620456,1482,0.0,0.4133071124221567,6,58.5
strategy,14.373240747991863,0.4698610382228914,-0.27927262747204606,5.394705879341686e+28,30.59040775620456,1482,0.0,0.4133071124221567,6,58.6
