ticker,event_date,form,report_date,accession,source
NVDA,2005-03-22,10-K,2005-01-30,0001045810-05-000008,SEC submissions filingDate
NVDA,2005-06-02,10-Q,2005-05-01,0001045810-05-000020,SEC submissions filingDate
NVDA,2005-08-25,10-Q,2005-07-31,0001045810-05-000024,SEC submissions filingDate
NVDA,2005-11-23,10-Q,2005-10-30,0001045810-05-000028,SEC submissions filingDate
NVDA,2006-03-16,10-K,2006-01-29,0001045810-06-000014,SEC submissions filingDate
NVDA,2006-05-31,10-Q,2006-04-30,0001045810-06-000023,SEC submissions filingDate
NVDA,2006-11-29,10-Q,2006-07-30,0001193125-06-243229,SEC submissions filingDate
NVDA,2006-12-07,10-Q,2006-10-29,0001045810-06-000035,SEC submissions filingDate
NVDA,2007-03-16,10-K,2007-01-28,0001045810-07-000008,SEC submissions filingDate
NVDA,2007-05-24,10-Q,2007-04-29,0001045810-07-000019,SEC submissions filingDate
NVDA,2007-08-22,10-Q,2007-08-22,0001045810-07-000045,SEC submissions filingDate
NVDA,2007-11-21,10-Q,2007-11-21,0001045810-07-000053,SEC submissions filingDate
NVDA,2008-03-21,10-K,2008-03-21,0001045810-08-000011,SEC submissions filingDate
NVDA,2008-05-22,10-Q,2008-04-27,0001045810-08-000016,SEC submissions filingDate
NVDA,2008-08-21,10-Q,2008-08-21,0001045810-08-000020,SEC submissions filingDate
NVDA,2008-12-02,10-Q,2008-12-01,0001045810-08-000030,SEC submissions filingDate
NVDA,2009-03-13,10-K,2009-01-25,0001045810-09-000013,SEC submissions filingDate
NVDA,2009-05-20,10-Q,2009-04-26,0001045810-09-000017,SEC submissions filingDate
NVDA,2009-08-20,10-Q,2009-07-26,0001045810-09-000024,SEC submissions filingDate
NVDA,2009-11-19,10-Q,2009-10-25,0001045810-09-000036,SEC submissions filingDate
NVDA,2010-03-18,10-K,2010-01-31,0001045810-10-000006,SEC submissions filingDate
NVDA,2010-05-21,10-Q,2010-05-02,0001045810-10-000018,SEC submissions filingDate
NVDA,2010-08-30,10-Q,2010-08-01,0001045810-10-000029,SEC submissions filingDate
NVDA,2010-12-07,10-Q,2010-10-31,0001045810-10-000045,SEC submissions filingDate
NVDA,2011-03-16,10-K,2011-01-30,0001045810-11-000015,SEC submissions filingDate
NVDA,2011-05-27,10-Q,2011-05-01,0001045810-11-000031,SEC submissions filingDate
NVDA,2011-08-25,10-Q,2011-07-31,0001045810-11-000046,SEC submissions filingDate
NVDA,2011-11-22,10-Q,2011-10-30,0001045810-11-000056,SEC submissions filingDate
NVDA,2012-03-13,10-K,2012-01-29,0001045810-12-000013,SEC submissions filingDate
NVDA,2012-05-23,10-Q,2012-04-29,0001045810-12-000027,SEC submissions filingDate
NVDA,2012-08-22,10-Q,2012-07-29,0001045810-12-000036,SEC submissions filingDate
NVDA,2012-11-19,10-Q,2012-10-28,0001045810-12-000060,SEC submissions filingDate
NVDA,2013-03-12,10-K,2013-01-27,0001045810-13-000008,SEC submissions filingDate
NVDA,2013-05-22,10-Q,2013-04-28,0001045810-13-000054,SEC submissions filingDate
NVDA,2013-08-21,10-Q,2013-07-28,0001045810-13-000075,SEC submissions filingDate
NVDA,2013-11-19,10-Q,2013-10-27,0001045810-13-000109,SEC submissions filingDate
NVDA,2014-03-13,10-K,2014-01-26,0001045810-14-000030,SEC submissions filingDate
NVDA,2014-05-21,10-Q,2014-04-27,0001045810-14-000085,SEC submissions filingDate
NVDA,2014-08-20,10-Q,2014-07-27,0001045810-14-000158,SEC submissions filingDate
NVDA,2014-11-19,10-Q,2014-10-26,0001045810-14-000188,SEC submissions filingDate
NVDA,2015-03-12,10-K,2015-01-25,0001045810-15-000036,SEC submissions filingDate
NVDA,2015-05-20,10-Q,2015-04-26,0001045810-15-000097,SEC submissions filingDate
NVDA,2015-08-19,10-Q,2015-07-26,0001045810-15-000143,SEC submissions filingDate
NVDA,2015-11-18,10-Q,2015-10-25,0001045810-15-000173,SEC submissions filingDate
NVDA,2016-03-17,10-K,2016-01-31,0001045810-16-000205,SEC submissions filingDate
NVDA,2016-05-25,10-Q,2016-05-01,0001045810-16-000275,SEC submissions filingDate
NVDA,2016-08-23,10-Q,2016-07-31,0001045810-16-000300,SEC submissions filingDate
NVDA,2016-11-22,10-Q,2016-10-30,0001045810-16-000353,SEC submissions filingDate
NVDA,2017-03-01,10-K,2017-01-29,0001045810-17-000027,SEC submissions filingDate
NVDA,2017-05-23,10-Q,2017-04-30,0001045810-17-000075,SEC submissions filingDate
NVDA,2017-08-23,10-Q,2017-07-30,0001045810-17-000123,SEC submissions filingDate
NVDA,2017-11-21,10-Q,2017-10-29,0001045810-17-000172,SEC submissions filingDate
NVDA,2018-02-28,10-K,2018-01-28,0001045810-18-000010,SEC submissions filingDate
NVDA,2018-05-22,10-Q,2018-04-29,0001045810-18-000080,SEC submissions filingDate
NVDA,2018-08-16,10-Q,2018-07-29,0001045810-18-000114,SEC submissions filingDate
NVDA,2018-11-15,10-Q,2018-10-28,0001045810-18-000150,SEC submissions filingDate
NVDA,2019-02-21,10-K,2019-01-27,0001045810-19-000023,SEC submissions filingDate
NVDA,2019-05-16,10-Q,2019-04-28,0001045810-19-000079,SEC submissions filingDate
NVDA,2019-08-15,10-Q,2019-07-28,0001045810-19-000144,SEC submissions filingDate
NVDA,2019-11-14,10-Q,2019-10-27,0001045810-19-000170,SEC submissions filingDate
NVDA,2020-02-20,10-K,2020-01-26,0001045810-20-000010,SEC submissions filingDate
NVDA,2020-05-21,10-Q,2020-04-26,0001045810-20-000065,SEC submissions filingDate
NVDA,2020-08-19,10-Q,2020-07-26,0001045810-20-000147,SEC submissions filingDate
NVDA,2020-11-18,10-Q,2020-10-25,0001045810-20-000189,SEC submissions filingDate
NVDA,2021-02-26,10-K,2021-01-31,0001045810-21-000010,SEC submissions filingDate
NVDA,2021-05-26,10-Q,2021-05-02,0001045810-21-000064,SEC submissions filingDate
NVDA,2021-08-20,10-Q,2021-08-01,0001045810-21-000131,SEC submissions filingDate
NVDA,2021-11-22,10-Q,2021-10-31,0001045810-21-000163,SEC submissions filingDate
NVDA,2022-03-18,10-K,2022-01-30,0001045810-22-000036,SEC submissions filingDate
NVDA,2022-05-27,10-Q,2022-05-01,0001045810-22-000079,SEC submissions filingDate
NVDA,2022-08-31,10-Q,2022-07-31,0001045810-22-000147,SEC submissions filingDate
NVDA,2022-11-18,10-Q,2022-10-30,0001045810-22-000166,SEC submissions filingDate
NVDA,2023-02-24,10-K,2023-01-29,0001045810-23-000017,SEC submissions filingDate
NVDA,2023-05-26,10-Q,2023-04-30,0001045810-23-000093,SEC submissions filingDate
NVDA,2023-08-28,10-Q,2023-07-30,0001045810-23-000175,SEC submissions filingDate
NVDA,2023-11-21,10-Q,2023-10-29,0001045810-23-000227,SEC submissions filingDate
