feature,direction,threshold,available_n,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,kept_n,kept_win_rate,kept_avg_return_pct,loss_recall_total,win_cost_total,score
^VIX3M_PREV_CLOSE_RET_10D,>=,0.0203158333807842,97,10,7,3,0.7,0.37821272644907394,87,0.7126436781609196,4.011874698135805,0.21875,0.046153846153846156,2.992370923235703
XLY_PREV_CLOSE_RET_5D,>=,0.03611348712603504,97,10,6,4,0.6,-2.2160008821043826,87,0.7011494252873564,4.310060170383329,0.1875,0.06153846153846154,2.8574128228427735
SPY_PREV_CLOSE_RET_5D,>=,0.024073951929646863,97,10,6,4,0.6,-2.0769623149779184,87,0.7011494252873564,4.294078725886035,0.1875,0.06153846153846154,2.8566137506179095
SPY_PREV_CLOSE_SMA20_RATIO,<=,0.013424284987321667,97,10,6,4,0.6,-1.9647542585002409,87,0.7011494252873564,4.281181248129979,0.1875,0.06153846153846154,2.855968876730106
UVIX_PREV_CLOSE_RET_10D,>=,-0.059906550424184905,97,10,6,4,0.6,-1.5898885473392332,87,0.7011494252873564,4.238093235352851,0.1875,0.06153846153846154,2.85381447609125
VIX3M_VIX_PREV_CLOSE_RATIO,>=,0.2670694996779964,97,10,6,4,0.6,-1.26733191914275,87,0.7011494252873564,4.201017760847509,0.1875,0.06153846153846154,2.851960702365983
VIX_VIX3M_PREV_CLOSE_RATIO,<=,-0.21077724553708768,97,10,6,4,0.6,-1.26733191914275,87,0.7011494252873564,4.201017760847509,0.1875,0.06153846153846154,2.851960702365983
UVIX_OPEN,>=,0.004081032034557181,97,10,6,4,0.6,-1.0862923420070856,87,0.7011494252873564,4.180208614050306,0.1875,0.06153846153846154,2.8509202450261224
UVIX_CLOSE,>=,0.004017910460727602,97,10,6,4,0.6,-1.0862923420070856,87,0.7011494252873564,4.180208614050306,0.1875,0.06153846153846154,2.8509202450261224
IWM_PREV_CLOSE_RET_5D,>=,0.037489335820558314,97,10,6,4,0.6,-0.4875235749734249,87,0.7011494252873564,4.111384617839541,0.1875,0.06153846153846154,2.847479045215585
XLY_PREV_CLOSE_RET_20D,>=,0.08820208430644799,97,10,6,4,0.6,-0.18552268325050392,87,0.7011494252873564,4.076671871664492,0.1875,0.06153846153846154,2.8457434079068324
XLY_XLP_PREV_CLOSE_RATIO_SMA20,>=,0.03679471328393849,97,10,6,4,0.6,0.278495621261582,87,0.7011494252873564,4.023336434364253,0.1875,0.06153846153846154,2.84307663604182
XLY_PREV_CLOSE_SMA20_RATIO,>=,0.043981659335034534,97,10,6,4,0.6,0.33692898593673287,87,0.7011494252873564,4.016619955665959,0.1875,0.06153846153846154,2.8427408121069053
IWM_PREV_CLOSE_SMA20_RATIO,>=,0.045835151511758196,97,10,6,4,0.6,1.9581926807384726,87,0.7011494252873564,3.8302678068381733,0.1875,0.06153846153846154,2.8334232046655163
^VIX3M_PREV_CLOSE_RET_10D,>=,0.008993097990280637,97,20,11,9,0.55,-0.09106029869501056,77,0.7272727272727273,4.605667947742935,0.34375,0.13846153846153847,2.8236400407437903
XLY_PREV_CLOSE_RET_5D,>=,0.026387882313657875,97,20,11,9,0.55,1.2404572571150638,77,0.7272727272727273,4.259819231948111,0.34375,0.13846153846153847,2.806347604954049
TLT_PREV_CLOSE_RET_5D,>=,0.017162308558597645,97,10,6,4,0.6,7.062797698539714,87,0.7011494252873564,3.243531597895502,0.1875,0.06153846153846154,2.8040863942183822
QQQ_PREV_CLOSE_SMA20_RATIO,>=,0.041138924850376804,97,10,6,4,0.6,10.793953520084171,87,0.7011494252873564,2.8146631126605066,0.1875,0.06153846153846154,2.7826429699566324
FNG_PREV_VALUE,<=,41.8,85,9,4,5,0.4444444444444444,1.4368936756314292,76,0.7236842105263158,4.845772997022277,0.125,0.07692307692307693,2.780862648951429
FNG_PREV_SMA20_RATIO,<=,0.35301353013530157,81,49,18,31,0.3673469387755102,1.4080061063037659,32,0.8125,8.311563289723498,0.5625,0.47692307692307695,2.743502026338608
^VIX3M_OPEN_GAP_FROM_PREV_CLOSE,>=,-0.013963255330408385,97,77,29,48,0.37662337662337664,1.7095918290951,20,0.85,11.058832758099154,0.90625,0.7384615384615385,2.7411034760667956
SPY_GLD_PREV_CLOSE_RET_20D,>=,0.04111165350503487,97,49,22,27,0.4489795918367347,1.3029069947912586,48,0.7916666666666666,6.020266317865295,0.6875,0.4153846153846154,2.709608292345384
