condition,total_episodes,baseline_win_rate,baseline_avg_return_pct,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,loss_recall,win_cost_rate,kept_n,kept_win_rate,kept_avg_return_pct,kept_median_return_pct,win_rate_improvement,avg_return_improvement_pct,rule_size,loss_capture_efficiency
GSPC_BB20_Z <= 1.607 AND days_since_previous_exit <= 3.000,97,0.6701030927835051,3.6372703711577916,21,11,10,0.5238095238095238,-0.7265956747519721,0.34375,0.15384615384615385,76,0.7236842105263158,4.843075462790753,3.6616602137030108,0.05358111774281071,1.2058050916329615,2,2.234375
GSPC_BB20_Z <= 1.607 AND days_since_previous_exit <= 4.250,97,0.6701030927835051,3.6372703711577916,21,11,10,0.5238095238095238,-0.7265956747519721,0.34375,0.15384615384615385,76,0.7236842105263158,4.843075462790753,3.6616602137030108,0.05358111774281071,1.2058050916329615,2,2.234375
GSPC_CLOSE_RET_20D >= 4.623%,97,0.6701030927835051,3.6372703711577916,29,13,16,0.4482758620689655,4.966739831753065,0.40625,0.24615384615384617,68,0.7205882352941176,3.070290748256867,3.4359824594554222,0.050485142510612535,-0.5669796229009245,1,1.650390625
days_since_previous_exit <= 3.000 AND GSPC_BB20_Z <= 1.569,97,0.6701030927835051,3.6372703711577916,19,10,9,0.5263157894736842,0.013213416563853716,0.3125,0.13846153846153847,78,0.717948717948718,4.520053475481956,3.4359824594554222,0.047845625165212846,0.8827831043241643,2,2.256944444444444
GSPC_BB20_Z <= 1.569 AND days_since_previous_exit <= 4.250,97,0.6701030927835051,3.6372703711577916,19,10,9,0.5263157894736842,0.013213416563853716,0.3125,0.13846153846153847,78,0.717948717948718,4.520053475481956,3.4359824594554222,0.047845625165212846,0.8827831043241643,2,2.256944444444444
entry_rsi <= 70.302 AND GSPC_SMA160_RATIO <= 6.666%,97,0.6701030927835051,3.6372703711577916,12,8,4,0.6666666666666666,-2.131893807123538,0.25,0.06153846153846154,85,0.7176470588235294,4.451740608091627,3.414045651775033,0.04754396604002431,0.8144702369338352,2,4.0625
entry_rsi <= 70.302 AND GSPC_SMA160_RATIO <= 5.756%,97,0.6701030927835051,3.6372703711577916,9,7,2,0.7777777777777778,-1.9972183269974235,0.21875,0.03076923076923077,88,0.7159090909090909,4.213524897105485,3.4226469410141402,0.045805998125585834,0.576254525947693,2,7.109375
entry_rsi <= 70.302,97,0.6701030927835051,3.6372703711577916,34,14,20,0.4117647058823529,0.06286884568793216,0.4375,0.3076923076923077,63,0.7142857142857143,5.566312464268509,3.846813831535645,0.044182621502209196,1.9290420931107173,1,1.421875
GSPC_BB20_Z <= 1.607,97,0.6701030927835051,3.6372703711577916,34,14,20,0.4117647058823529,2.795337402267408,0.4375,0.3076923076923077,63,0.7142857142857143,4.091646894051015,3.8838792916128018,0.044182621502209196,0.4543765228932237,1,1.421875
GSPC_CLOSE_RET_20D >= 4.472%,97,0.6701030927835051,3.6372703711577916,34,14,20,0.4117647058823529,4.890141570180663,0.4375,0.3076923076923077,63,0.7142857142857143,2.96111766057402,3.4312482302532477,0.044182621502209196,-0.6761527105837715,1,1.421875
GSPC_CLOSE_RET_10D >= 3.627% AND pre10_tqqq_open_return >= 9.517%,97,0.6701030927835051,3.6372703711577916,10,7,3,0.7,-2.5555886219547617,0.21875,0.046153846153846156,87,0.7126436781609196,4.3490932439293495,3.440716688657597,0.04254058537741445,0.7118228727715579,2,4.739583333333333
entry_rsi <= 70.302 AND GSPC_SMA160_RATIO <= 6.025%,97,0.6701030927835051,3.6372703711577916,10,7,3,0.7,-1.4091085651364008,0.21875,0.046153846153846156,87,0.7126436781609196,4.217313927053676,3.414045651775033,0.04254058537741445,0.5800435558958847,2,4.739583333333333
pre20_tqqq_open_return >= 19.310% AND GSPC_CLOSE_RET_10D >= 3.009%,97,0.6701030927835051,3.6372703711577916,10,7,3,0.7,-0.2411915557488454,0.21875,0.046153846153846156,87,0.7126436781609196,4.083070592641313,3.414045651775033,0.04254058537741445,0.4458002214835215,2,4.739583333333333
GSPC_CLOSE_RET_10D >= 3.627% AND pre10_tqqq_open_return >= 9.019%,97,0.6701030927835051,3.6372703711577916,11,7,4,0.6363636363636364,-1.9024214224853635,0.21875,0.06153846153846154,86,0.7093023255813954,4.345835600577265,3.4359824594554222,0.03919923279789028,0.7085652294194738,2,3.5546875
GSPC_CLOSE_RET_10D >= 3.627% AND pre10_tqqq_open_return >= 8.575%,97,0.6701030927835051,3.6372703711577916,11,7,4,0.6363636363636364,-1.9024214224853635,0.21875,0.06153846153846154,86,0.7093023255813954,4.345835600577265,3.4359824594554222,0.03919923279789028,0.7085652294194738,2,3.5546875
entry_rsi <= 70.302 AND GSPC_SMA160_RATIO <= 6.322%,97,0.6701030927835051,3.6372703711577916,11,7,4,0.6363636363636364,-0.688406919664174,0.21875,0.06153846153846154,86,0.7093023255813954,4.19055467579781,3.368681227295678,0.03919923279789028,0.5532843046400187,2,3.5546875
pre20_tqqq_open_return >= 18.372% AND GSPC_CLOSE_RET_10D >= 3.009%,97,0.6701030927835051,3.6372703711577916,11,7,4,0.6363636363636364,0.0911027358442345,0.21875,0.06153846153846154,86,0.7093023255813954,4.090849952418828,3.3772825165347853,0.03919923279789028,0.45357958126103615,2,3.5546875
GSPC_SMA160_RATIO <= 6.025%,97,0.6701030927835051,3.6372703711577916,25,11,14,0.44,1.1037542614546296,0.34375,0.2153846153846154,72,0.7083333333333334,4.516963464804722,3.4226469410141402,0.038230240549828265,0.8796930936469307,1,1.5959821428571428
GSPC_SMA160_SLOPE_20D >= 1.678%,97,0.6701030927835051,3.6372703711577916,25,11,14,0.44,3.5941356596746514,0.34375,0.2153846153846154,72,0.7083333333333334,3.6522477015338826,3.368681227295678,0.038230240549828265,0.014977330376090947,1,1.5959821428571428
pre20_tqqq_open_return >= 18.372%,97,0.6701030927835051,3.6372703711577916,25,11,14,0.44,6.068317980073204,0.34375,0.2153846153846154,72,0.7083333333333334,2.793156618062163,3.2087335467704703,0.038230240549828265,-0.8441137530956286,1,1.5959821428571428
GSPC_CLOSE_RET_10D >= 3.627% AND GSPC_CLOSE_RET_20D >= 5.581%,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-2.005672229775769,0.1875,0.03076923076923077,89,0.7078651685393258,4.144501166747325,3.4312482302532477,0.03776207575582069,0.5072307955895337,2,6.09375
GSPC_CLOSE_RET_20D >= 5.581% AND GSPC_CLOSE_RET_10D >= 3.284%,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-2.005672229775769,0.1875,0.03076923076923077,89,0.7078651685393258,4.144501166747325,3.4312482302532477,0.03776207575582069,0.5072307955895337,2,6.09375
GSPC_CLOSE_RET_20D >= 5.581% AND GSPC_CLOSE_RET_10D >= 3.009%,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-2.005672229775769,0.1875,0.03076923076923077,89,0.7078651685393258,4.144501166747325,3.4312482302532477,0.03776207575582069,0.5072307955895337,2,6.09375
pre20_tqqq_open_return >= 17.767% AND pre5_tqqq_open_return <= 1.456%,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-1.9922575205639728,0.1875,0.03076923076923077,89,0.7078651685393258,4.1432953501889624,3.4312482302532477,0.03776207575582069,0.5060249790311708,2,6.09375
GSPC_SMA160_RATIO <= 5.756% AND entry_rsi <= 70.175,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-1.6303067985626112,0.1875,0.03076923076923077,89,0.7078651685393258,4.110760453829288,3.414045651775033,0.03776207575582069,0.4734900826714963,2,6.09375
GSPC_CLOSE_RET_10D >= 3.627% AND pre20_tqqq_open_return >= 19.310%,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-0.9387995793928794,0.1875,0.03076923076923077,89,0.7078651685393258,4.048602501544369,3.414045651775033,0.03776207575582069,0.4113321303865778,2,6.09375
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_SMA160_SLOPE_20D >= 1.678%,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-0.7926857851396603,0.1875,0.03076923076923077,89,0.7078651685393258,4.035468677341832,3.4312482302532477,0.03776207575582069,0.3981983061840406,2,6.09375
GSPC_CLOSE_RET_20D >= 4.472% AND GSPC_SMA160_SLOPE_20D >= 1.678%,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-0.7926857851396603,0.1875,0.03076923076923077,89,0.7078651685393258,4.035468677341832,3.4312482302532477,0.03776207575582069,0.3981983061840406,2,6.09375
days_since_previous_exit <= 3.000,97,0.6701030927835051,3.6372703711577916,32,13,19,0.40625,1.2378711812732668,0.40625,0.2923076923076923,65,0.7076923076923077,4.81851304925479,3.8826037387484247,0.037589214908802626,1.1812426780969982,1,1.3898026315789473
GSPC_CLOSE_RET_10D >= 3.627%,97,0.6701030927835051,3.6372703711577916,15,8,7,0.5333333333333333,-0.31837232429580975,0.25,0.1076923076923077,82,0.7073170731707317,4.360863547155402,3.4359824594554222,0.037213980387226564,0.7235931759976104,1,2.321428571428571
GSPC_SMA160_SLOPE_20D >= 2.085%,97,0.6701030927835051,3.6372703711577916,15,8,7,0.5333333333333333,2.325938241897005,0.25,0.1076923076923077,82,0.7073170731707317,3.877148199681107,3.4226469410141402,0.037213980387226564,0.23987782852331518,1,2.321428571428571
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_CLOSE_RET_10D >= 3.627%,97,0.6701030927835051,3.6372703711577916,12,7,5,0.5833333333333334,0.3097595331875553,0.21875,0.07692307692307693,85,0.7058823529411765,4.107036607106531,3.4312482302532477,0.03577926015767141,0.46976623594873956,2,2.84375
GSPC_CLOSE_RET_20D >= 4.472% AND GSPC_CLOSE_RET_10D >= 3.627%,97,0.6701030927835051,3.6372703711577916,12,7,5,0.5833333333333334,0.3097595331875553,0.21875,0.07692307692307693,85,0.7058823529411765,4.107036607106531,3.4312482302532477,0.03577926015767141,0.46976623594873956,2,2.84375
pre20_tqqq_open_return >= 17.767% AND GSPC_CLOSE_RET_10D >= 3.009%,97,0.6701030927835051,3.6372703711577916,12,7,5,0.5833333333333334,1.1293788316119064,0.21875,0.07692307692307693,85,0.7058823529411765,3.9913256473289755,3.323316802816323,0.03577926015767141,0.35405527617118393,2,2.84375
pre20_tqqq_open_return >= 15.976% AND GSPC_CLOSE_RET_10D >= 3.009%,97,0.6701030927835051,3.6372703711577916,12,7,5,0.5833333333333334,1.1293788316119064,0.21875,0.07692307692307693,85,0.7058823529411765,3.9913256473289755,3.323316802816323,0.03577926015767141,0.35405527617118393,2,2.84375
GSPC_BB20_Z <= 1.569,97,0.6701030927835051,3.6372703711577916,29,12,17,0.41379310344827586,1.0625915774865342,0.375,0.26153846153846155,68,0.7058823529411765,4.7352951508117105,3.6622979901351993,0.03577926015767141,1.0980247796539189,1,1.4338235294117647
GSPC_SMA160_RATIO <= 6.322%,97,0.6701030927835051,3.6372703711577916,29,12,17,0.41379310344827586,1.7840201100899837,0.375,0.26153846153846155,68,0.7058823529411765,4.427627100142593,3.368681227295678,0.03577926015767141,0.7903567289848015,1,1.4338235294117647
pre20_tqqq_open_return >= 17.767%,97,0.6701030927835051,3.6372703711577916,29,12,17,0.41379310344827586,6.012251580868012,0.375,0.26153846153846155,68,0.7058823529411765,2.6244107376049044,3.0370105505238443,0.03577926015767141,-1.0128596335528872,1,1.4338235294117647
GSPC_BB20_Z <= 1.607 AND GSPC_CLOSE_RET_20D >= 4.472%,97,0.6701030927835051,3.6372703711577916,19,9,10,0.47368421052631576,4.416493209705206,0.28125,0.15384615384615385,78,0.7051282051282052,3.4474596797167543,3.4359824594554222,0.03502511234470007,-0.18981069144103735,2,1.828125
GSPC_CLOSE_RET_20D >= 4.623% AND pre20_tqqq_open_return >= 17.767%,97,0.6701030927835051,3.6372703711577916,19,9,10,0.47368421052631576,6.753777870573891,0.28125,0.15384615384615385,78,0.7051282051282052,2.8781211084795117,3.3772825165347853,0.03502511234470007,-0.7591492626782799,2,1.828125
GSPC_CLOSE_RET_20D >= 4.623% AND pre20_tqqq_open_return >= 15.976%,97,0.6701030927835051,3.6372703711577916,19,9,10,0.47368421052631576,6.753777870573891,0.28125,0.15384615384615385,78,0.7051282051282052,2.8781211084795117,3.3772825165347853,0.03502511234470007,-0.7591492626782799,2,1.828125
GSPC_CLOSE_RET_20D >= 4.472% AND pre20_tqqq_open_return >= 17.767%,97,0.6701030927835051,3.6372703711577916,19,9,10,0.47368421052631576,6.753777870573891,0.28125,0.15384615384615385,78,0.7051282051282052,2.8781211084795117,3.3772825165347853,0.03502511234470007,-0.7591492626782799,2,1.828125
GSPC_SMA160_RATIO <= 6.025% AND entry_rsi <= 70.175,97,0.6701030927835051,3.6372703711577916,9,6,3,0.6666666666666666,-1.0176194552097872,0.1875,0.046153846153846156,88,0.7045454545454546,4.1133386488544765,3.368681227295678,0.03444236176194948,0.4760682776966849,2,4.0625
GSPC_SMA160_RATIO <= 6.322% AND entry_rsi <= 70.175,97,0.6701030927835051,3.6372703711577916,9,6,3,0.6666666666666666,-1.0176194552097872,0.1875,0.046153846153846156,88,0.7045454545454546,4.1133386488544765,3.368681227295678,0.03444236176194948,0.4760682776966849,2,4.0625
GSPC_SMA160_RATIO <= 6.666% AND entry_rsi <= 70.175,97,0.6701030927835051,3.6372703711577916,9,6,3,0.6666666666666666,-1.0176194552097872,0.1875,0.046153846153846156,88,0.7045454545454546,4.1133386488544765,3.368681227295678,0.03444236176194948,0.4760682776966849,2,4.0625
GSPC_CLOSE_RET_10D >= 3.627% AND GSPC_CLOSE_RET_20D >= 5.278%,97,0.6701030927835051,3.6372703711577916,9,6,3,0.6666666666666666,-0.5285417530345379,0.1875,0.046153846153846156,88,0.7045454545454546,4.063319338404735,3.3772825165347853,0.03444236176194948,0.42604896724694363,2,4.0625
pre20_tqqq_open_return >= 18.372% AND GSPC_CLOSE_RET_10D >= 3.627%,97,0.6701030927835051,3.6372703711577916,9,6,3,0.6666666666666666,-0.4551501092631113,0.1875,0.046153846153846156,88,0.7045454545454546,4.055813374837203,3.3772825165347853,0.03444236176194948,0.4185430036794111,2,4.0625
GSPC_CLOSE_RET_10D >= 3.627% AND pre20_tqqq_open_return >= 17.767%,97,0.6701030927835051,3.6372703711577916,9,6,3,0.6666666666666666,-0.4551501092631113,0.1875,0.046153846153846156,88,0.7045454545454546,4.055813374837203,3.3772825165347853,0.03444236176194948,0.4185430036794111,2,4.0625
