date,nasdaq100_forward_pe,source
2005-01-01,25.65,trendonify_nasdaq100_forward_pe_monthly
2005-02-01,25.57,trendonify_nasdaq100_forward_pe_monthly
2005-03-01,24.62,trendonify_nasdaq100_forward_pe_monthly
2005-04-01,23.84,trendonify_nasdaq100_forward_pe_monthly
2005-05-01,25.86,trendonify_nasdaq100_forward_pe_monthly
2005-06-01,25.59,trendonify_nasdaq100_forward_pe_monthly
2005-07-01,26.97,trendonify_nasdaq100_forward_pe_monthly
2005-08-01,26.91,trendonify_nasdaq100_forward_pe_monthly
2005-09-01,27.12,trendonify_nasdaq100_forward_pe_monthly
2005-10-01,26.14,trendonify_nasdaq100_forward_pe_monthly
2005-11-01,27.65,trendonify_nasdaq100_forward_pe_monthly
2005-12-01,27.6,trendonify_nasdaq100_forward_pe_monthly
2006-01-01,26.63,trendonify_nasdaq100_forward_pe_monthly
2006-02-01,25.75,trendonify_nasdaq100_forward_pe_monthly
2006-03-01,26.67,trendonify_nasdaq100_forward_pe_monthly
2006-04-01,26.58,trendonify_nasdaq100_forward_pe_monthly
2006-05-01,24.98,trendonify_nasdaq100_forward_pe_monthly
2006-06-01,24.64,trendonify_nasdaq100_forward_pe_monthly
2006-07-01,23.14,trendonify_nasdaq100_forward_pe_monthly
2006-08-01,24.39,trendonify_nasdaq100_forward_pe_monthly
2006-09-01,25.5,trendonify_nasdaq100_forward_pe_monthly
2006-10-01,25.83,trendonify_nasdaq100_forward_pe_monthly
2006-11-01,26.58,trendonify_nasdaq100_forward_pe_monthly
2006-12-01,26.76,trendonify_nasdaq100_forward_pe_monthly
2007-01-01,24.36,trendonify_nasdaq100_forward_pe_monthly
2007-02-01,23.75,trendonify_nasdaq100_forward_pe_monthly
2007-03-01,23.91,trendonify_nasdaq100_forward_pe_monthly
2007-04-01,24.56,trendonify_nasdaq100_forward_pe_monthly
2007-05-01,25.62,trendonify_nasdaq100_forward_pe_monthly
2007-06-01,25.23,trendonify_nasdaq100_forward_pe_monthly
