date,sp500_factset_forward_report_date,sp500_price,sp500_forward_eps_4q_sum,sp500_forward_pe_factset_pdf_ocr,sp500_factset_trailing_report_date,sp500_trailing_eps_4q_sum,sp500_trailing_pe_factset_pdf_ocr,source
2016-12-09,2016-12-09,2259.530029296875,128.29,17.612674637905332,2016-12-09,117.49,19.23167954121095,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-12,2016-12-09,2256.9599609375,128.29,17.592641366727726,2016-12-09,117.49,19.20980475731977,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-13,2016-12-09,2271.719970703125,128.29,17.707693278533988,2016-12-09,117.49,19.335432553435396,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-14,2016-12-09,2253.280029296875,128.29,17.56395688905507,2016-12-09,117.49,19.178483524528684,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-15,2016-12-09,2262.030029296875,128.29,17.632161737445436,2016-12-09,117.49,19.25295794788386,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-16,2016-12-16,2258.070068359375,128.39,17.587585235293833,2016-12-16,117.49,19.21925328418908,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-19,2016-12-16,2262.530029296875,128.39,17.622322838981816,2016-12-16,117.49,19.25721362921844,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-20,2016-12-16,2270.760009765625,128.39,17.686424252399917,2016-12-16,117.49,19.327261977748105,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-21,2016-12-16,2265.179931640625,128.39,17.642962315138448,2016-12-16,117.49,19.279767909103963,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-22,2016-12-16,2260.9599609375,128.39,17.610093939851236,2016-12-16,117.49,19.243850207996424,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-23,2016-12-23,2263.7900390625,128.21,17.656891342816472,2016-12-23,117.49,19.267938029300364,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-27,2016-12-23,2268.8798828125,128.21,17.69659061549411,2016-12-23,117.49,19.31125953538599,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-28,2016-12-23,2249.919921875,128.21,17.548708539700492,2016-12-23,117.49,19.149884431653756,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-29,2016-12-23,2249.260009765625,128.21,17.543561420837882,2016-12-23,117.49,19.144267680361093,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2016-12-30,2016-12-23,2238.830078125,128.21,17.462211045355275,2016-12-23,117.49,19.05549474955315,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-03,2016-12-23,2257.830078125,132.51,17.03894104690212,2016-12-23,118.63,19.03253880236871,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-04,2016-12-23,2270.75,132.51,17.136442532639048,2016-12-23,118.63,19.141448200286607,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-05,2016-12-23,2269.0,132.51,17.123235982190025,2016-12-23,118.63,19.126696451150636,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-06,2017-01-06,2276.97998046875,132.59,17.17308982931405,2017-01-06,118.65,19.190728870364516,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-09,2017-01-06,2268.89990234375,132.59,17.11214950104646,2017-01-06,118.65,19.122628759745048,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-10,2017-01-06,2268.89990234375,132.59,17.11214950104646,2017-01-06,118.65,19.122628759745048,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-11,2017-01-06,2275.320068359375,132.59,17.160570694316124,2017-01-06,118.65,19.176738882084912,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-12,2017-01-06,2270.43994140625,132.59,17.123764547901423,2017-01-06,118.65,19.135608440002105,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-13,2017-01-13,2274.639892578125,132.57,17.1580289098448,2017-01-13,118.59,19.18070573048423,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-17,2017-01-13,2267.889892578125,132.57,17.107112412899788,2017-01-13,118.59,19.123786934632975,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-18,2017-01-13,2271.889892578125,132.57,17.137285151830167,2017-01-13,118.59,19.15751659143372,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-19,2017-01-13,2263.68994140625,132.57,17.07543140534246,2017-01-13,118.59,19.088371206731175,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-20,2017-01-20,2271.31005859375,132.71,17.114837303848617,2017-01-20,118.77,19.12360072908773,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-23,2017-01-20,2265.199951171875,132.71,17.068796256287204,2017-01-20,118.77,19.072155857302977,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-24,2017-01-20,2280.070068359375,132.71,17.18084596759381,2017-01-20,118.77,19.19735681030037,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-25,2017-01-20,2298.3701171875,132.71,17.318740993048753,2017-01-20,118.77,19.351436534373157,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-26,2017-01-20,2296.679931640625,132.71,17.306005060964697,2017-01-20,118.77,19.337205789682788,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-27,2017-01-27,2294.68994140625,132.63,17.301439654725552,2017-01-27,118.88,19.302573531344635,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-30,2017-01-27,2280.89990234375,132.63,17.19746590020169,2017-01-27,118.88,19.186573875704493,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-01-31,2017-01-27,2278.8701171875,132.63,17.182161782307926,2017-01-27,118.88,19.169499639867936,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-01,2017-01-27,2279.550048828125,132.63,17.18728831205704,2017-01-27,118.88,19.175219118675347,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-02,2017-01-27,2280.85009765625,132.63,17.19709038419852,2017-01-27,118.88,19.186154926448943,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-03,2017-02-03,2297.419921875,131.83,17.427140422324204,2017-02-03,119.13,19.28498213611181,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-06,2017-02-03,2292.56005859375,131.83,17.39027579908784,2017-02-03,119.13,19.244187514427516,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-07,2017-02-03,2293.080078125,131.83,17.394220421186375,2017-02-03,119.13,19.24855265781079,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-08,2017-02-03,2294.669921875,131.83,17.4062802235834,2017-02-03,119.13,19.261898110257704,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-09,2017-02-03,2307.8701171875,131.83,17.50641065908746,2017-02-03,119.13,19.372703073847894,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-10,2017-02-10,2316.10009765625,131.31,17.638413659707943,2017-02-10,119.22,19.427110364504696,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-13,2017-02-10,2328.25,131.31,17.730942045541084,2017-02-10,119.22,19.529021976178495,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-14,2017-02-10,2337.580078125,131.31,17.801995873315057,2017-02-10,119.22,19.60728131290891,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-15,2017-02-10,2349.25,131.31,17.8908689361054,2017-02-10,119.22,19.7051669183023,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-16,2017-02-10,2347.219970703125,131.31,17.87540911357189,2017-02-10,119.22,19.688139328159075,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-17,2017-02-17,2351.159912109375,131.19,17.921792149625542,2017-02-17,119.11,19.73939981621505,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-21,2017-02-17,2365.3798828125,131.19,18.030184334267098,2017-02-17,119.11,19.858785012278567,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-22,2017-02-17,2362.820068359375,131.19,18.010672066158815,2017-02-17,119.11,19.83729383225065,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-23,2017-02-17,2363.81005859375,131.19,18.01821829860317,2017-02-17,119.11,19.84560539496054,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-24,2017-02-17,2367.340087890625,131.19,18.045126060603895,2017-02-17,119.11,19.87524211141487,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
2017-02-27,2017-02-17,2369.75,131.19,18.063495693269303,2017-02-17,119.11,19.89547477121988,FactSet Earnings Insight public PDFs via eps-estimates-collector OCR; S&P price from yfinance
