date,sp500_level,sp500_forward_pe_doinoff,sp500_mpe_doinoff,sp500_monthly_return_pct_doinoff,source
1982-01-31,114.5,7.0,7.5,-1.940375107,doinoff_pe_embedded_PE_DATA
1982-02-28,110.8,6.9,7.4,-2.758107715,doinoff_pe_embedded_PE_DATA
1982-03-31,116.3,6.8,7.3,5.450565584,doinoff_pe_embedded_PE_DATA
1982-04-30,116.4,6.7,7.2,0.590984523,doinoff_pe_embedded_PE_DATA
1982-05-31,109.7,6.6,7.1,-5.272680412,doinoff_pe_embedded_PE_DATA
1982-06-30,109.4,6.5,7.0,0.211526892,doinoff_pe_embedded_PE_DATA
1982-07-31,109.7,7.2,7.8,0.791723035,doinoff_pe_embedded_PE_DATA
1982-08-31,122.4,8.0,8.5,12.09702826,doinoff_pe_embedded_PE_DATA
1982-09-30,132.7,9.0,9.8,8.934199346,doinoff_pe_embedded_PE_DATA
1982-10-31,138.1,10.0,11.0,4.535995981,doinoff_pe_embedded_PE_DATA
1982-11-30,139.4,10.0,10.8,1.372180183,doinoff_pe_embedded_PE_DATA
1982-12-31,144.3,10.0,10.5,3.929231229,doinoff_pe_embedded_PE_DATA
1983-01-31,146.8,10.2,10.8,2.143335066,doinoff_pe_embedded_PE_DATA
1983-02-28,151.9,10.3,11.2,3.871614441,doinoff_pe_embedded_PE_DATA
1983-03-31,157.7,10.5,11.5,4.209968181,doinoff_pe_embedded_PE_DATA
1983-04-30,164.1,10.8,11.8,4.437505284,doinoff_pe_embedded_PE_DATA
1983-05-31,166.4,11.2,12.2,1.767417733,doinoff_pe_embedded_PE_DATA
1983-06-30,167.0,11.5,12.5,0.71224359,doinoff_pe_embedded_PE_DATA
1983-07-31,162.4,11.2,12.0,-2.406991018,doinoff_pe_embedded_PE_DATA
1983-08-31,167.2,10.8,11.5,3.303165025,doinoff_pe_embedded_PE_DATA
1983-09-30,167.7,10.5,11.0,0.657376396,doinoff_pe_embedded_PE_DATA
1983-10-31,165.2,10.3,10.8,-1.141590638,doinoff_pe_embedded_PE_DATA
1983-11-30,164.4,10.2,10.7,-0.135094835,doinoff_pe_embedded_PE_DATA
1983-12-31,166.4,10.0,10.5,1.572378345,doinoff_pe_embedded_PE_DATA
1984-01-31,157.3,9.7,10.3,-5.109583333,doinoff_pe_embedded_PE_DATA
1984-02-29,157.4,9.3,10.2,0.420239458,doinoff_pe_embedded_PE_DATA
1984-03-31,157.6,9.0,10.0,0.50623147,doinoff_pe_embedded_PE_DATA
1984-04-30,156.6,8.7,10.1,-0.254517766,doinoff_pe_embedded_PE_DATA
1984-05-31,153.1,8.5,10.1,-1.853326948,doinoff_pe_embedded_PE_DATA
1984-06-30,151.1,8.2,10.2,-0.919669062,doinoff_pe_embedded_PE_DATA
1984-07-31,164.4,8.0,10.0,9.199617803,doinoff_pe_embedded_PE_DATA
1984-08-31,166.1,8.5,10.5,1.438229927,doinoff_pe_embedded_PE_DATA
