date,sp500_forward_pe,source
2009-05-01,13.77,trendonify_sp500_forward_pe_monthly
2009-06-01,13.78,trendonify_sp500_forward_pe_monthly
2009-07-01,13.37,trendonify_sp500_forward_pe_monthly
2009-08-01,13.81,trendonify_sp500_forward_pe_monthly
2009-09-01,14.31,trendonify_sp500_forward_pe_monthly
2009-10-01,13.0,trendonify_sp500_forward_pe_monthly
2009-11-01,13.74,trendonify_sp500_forward_pe_monthly
2009-12-01,13.99,trendonify_sp500_forward_pe_monthly
2010-01-01,12.7,trendonify_sp500_forward_pe_monthly
2010-02-01,13.07,trendonify_sp500_forward_pe_monthly
2010-03-01,13.83,trendonify_sp500_forward_pe_monthly
2010-04-01,13.53,trendonify_sp500_forward_pe_monthly
2010-05-01,12.42,trendonify_sp500_forward_pe_monthly
2010-06-01,11.75,trendonify_sp500_forward_pe_monthly
2010-07-01,12.01,trendonify_sp500_forward_pe_monthly
2010-08-01,11.44,trendonify_sp500_forward_pe_monthly
2010-09-01,12.44,trendonify_sp500_forward_pe_monthly
2010-10-01,12.39,trendonify_sp500_forward_pe_monthly
2010-11-01,12.36,trendonify_sp500_forward_pe_monthly
2010-12-01,13.17,trendonify_sp500_forward_pe_monthly
2011-01-01,13.22,trendonify_sp500_forward_pe_monthly
2011-02-01,13.64,trendonify_sp500_forward_pe_monthly
2011-03-01,13.62,trendonify_sp500_forward_pe_monthly
2011-04-01,13.77,trendonify_sp500_forward_pe_monthly
2011-05-01,13.59,trendonify_sp500_forward_pe_monthly
2011-06-01,13.34,trendonify_sp500_forward_pe_monthly
2011-07-01,12.98,trendonify_sp500_forward_pe_monthly
2011-08-01,12.24,trendonify_sp500_forward_pe_monthly
2011-09-01,11.36,trendonify_sp500_forward_pe_monthly
2011-10-01,12.75,trendonify_sp500_forward_pe_monthly
2011-11-01,12.69,trendonify_sp500_forward_pe_monthly
2011-12-01,12.8,trendonify_sp500_forward_pe_monthly
2012-01-01,13.43,trendonify_sp500_forward_pe_monthly
2012-02-01,13.98,trendonify_sp500_forward_pe_monthly
2012-03-01,14.42,trendonify_sp500_forward_pe_monthly
2012-04-01,14.09,trendonify_sp500_forward_pe_monthly
2012-05-01,13.2,trendonify_sp500_forward_pe_monthly
2012-06-01,13.73,trendonify_sp500_forward_pe_monthly
2012-07-01,13.77,trendonify_sp500_forward_pe_monthly
2012-08-01,14.04,trendonify_sp500_forward_pe_monthly
2012-09-01,14.38,trendonify_sp500_forward_pe_monthly
2012-10-01,13.69,trendonify_sp500_forward_pe_monthly
2012-11-01,13.73,trendonify_sp500_forward_pe_monthly
2012-12-01,13.83,trendonify_sp500_forward_pe_monthly
2013-01-01,13.84,trendonify_sp500_forward_pe_monthly
2013-02-01,13.99,trendonify_sp500_forward_pe_monthly
2013-03-01,14.49,trendonify_sp500_forward_pe_monthly
2013-04-01,14.54,trendonify_sp500_forward_pe_monthly
2013-05-01,14.85,trendonify_sp500_forward_pe_monthly
2013-06-01,14.62,trendonify_sp500_forward_pe_monthly
2013-07-01,14.94,trendonify_sp500_forward_pe_monthly
2013-08-01,14.47,trendonify_sp500_forward_pe_monthly
2013-09-01,14.9,trendonify_sp500_forward_pe_monthly
2013-10-01,15.2,trendonify_sp500_forward_pe_monthly
2013-11-01,15.63,trendonify_sp500_forward_pe_monthly
2013-12-01,16.0,trendonify_sp500_forward_pe_monthly
2014-01-01,15.63,trendonify_sp500_forward_pe_monthly
2014-02-01,16.31,trendonify_sp500_forward_pe_monthly
2014-03-01,16.42,trendonify_sp500_forward_pe_monthly
2014-04-01,16.74,trendonify_sp500_forward_pe_monthly
2014-05-01,17.1,trendonify_sp500_forward_pe_monthly
2014-06-01,17.42,trendonify_sp500_forward_pe_monthly
2014-07-01,17.67,trendonify_sp500_forward_pe_monthly
2014-08-01,18.33,trendonify_sp500_forward_pe_monthly
2014-09-01,18.05,trendonify_sp500_forward_pe_monthly
2014-10-01,19.2,trendonify_sp500_forward_pe_monthly
2014-11-01,19.68,trendonify_sp500_forward_pe_monthly
2014-12-01,19.59,trendonify_sp500_forward_pe_monthly
2015-01-01,19.68,trendonify_sp500_forward_pe_monthly
2015-02-01,20.76,trendonify_sp500_forward_pe_monthly
2015-03-01,20.4,trendonify_sp500_forward_pe_monthly
2015-04-01,20.96,trendonify_sp500_forward_pe_monthly
2015-05-01,21.18,trendonify_sp500_forward_pe_monthly
2015-06-01,20.73,trendonify_sp500_forward_pe_monthly
2015-07-01,21.24,trendonify_sp500_forward_pe_monthly
2015-08-01,19.91,trendonify_sp500_forward_pe_monthly
2015-09-01,19.38,trendonify_sp500_forward_pe_monthly
2015-10-01,20.32,trendonify_sp500_forward_pe_monthly
2015-11-01,20.33,trendonify_sp500_forward_pe_monthly
2015-12-01,19.97,trendonify_sp500_forward_pe_monthly
2016-01-01,18.1,trendonify_sp500_forward_pe_monthly
2016-02-01,18.02,trendonify_sp500_forward_pe_monthly
2016-03-01,19.21,trendonify_sp500_forward_pe_monthly
2016-04-01,18.42,trendonify_sp500_forward_pe_monthly
2016-05-01,18.7,trendonify_sp500_forward_pe_monthly
2016-06-01,18.72,trendonify_sp500_forward_pe_monthly
2016-07-01,18.58,trendonify_sp500_forward_pe_monthly
2016-08-01,18.56,trendonify_sp500_forward_pe_monthly
2016-09-01,18.54,trendonify_sp500_forward_pe_monthly
2016-10-01,17.77,trendonify_sp500_forward_pe_monthly
2016-11-01,18.38,trendonify_sp500_forward_pe_monthly
2016-12-01,18.71,trendonify_sp500_forward_pe_monthly
2017-01-01,18.14,trendonify_sp500_forward_pe_monthly
2017-02-01,18.81,trendonify_sp500_forward_pe_monthly
2017-03-01,18.81,trendonify_sp500_forward_pe_monthly
2017-04-01,17.87,trendonify_sp500_forward_pe_monthly
