date,sp500_price,operating_eps_q,as_reported_eps_q,operating_pe_ttm,as_reported_pe_ttm,operating_eps_ttm,as_reported_eps_ttm,source
2005-12-31,1248.29,20.19,17.3,16.328188358404184,17.85056485056485,76.45,69.92999999999999,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2006-03-31,1294.83,20.75,19.69,16.348863636363635,17.817944131003163,79.2,72.67,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2006-06-30,1270.2,21.95,20.11,15.54141686039398,17.051953282319776,81.73,74.49,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2006-09-30,1335.847,23.03,21.47,15.547567504655493,17.00199821814942,85.92,78.57,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2006-12-31,1418.3,21.99,20.24,16.168490652074784,17.40031897926635,87.72,81.50999999999999,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2007-03-31,1420.86,22.39,21.33,15.900402864816472,17.087913409500903,89.36,83.14999999999999,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2007-06-30,1503.3486,24.06,21.880744314722936,16.43542800918334,17.70296070920519,91.47,84.92074431472292,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2007-09-30,1526.75,20.87,15.15,17.094950173552796,19.424116314812302,89.30999999999999,78.60074431472293,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2007-12-31,1468.3552,15.22,7.82,17.789619578386237,22.187045721595815,82.54,66.18074431472293,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2008-03-31,1322.703,16.62,15.54,17.229425556858146,21.902412613211197,76.77000000000001,60.39074431472294,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2008-06-30,1280.001,17.02,12.86,18.35653233902194,24.91728635390306,69.73,51.37,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2008-09-30,1166.361418,15.96,9.73,17.99385094106757,25.383273514689883,64.82000000000001,45.949999999999996,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2008-12-31,903.25,-0.09,-23.25,18.24378913350838,60.70228494623656,49.510000000000005,14.879999999999999,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2009-03-31,797.867,10.11,7.52,18.555046511627907,116.30714285714286,43,6.859999999999999,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2009-06-30,919.32,13.81,13.51,23.104297562201555,122.41278295605856,39.790000000000006,7.510000000000002,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2009-09-30,1057.0786,15.78,14.76,26.687164857359253,84.29653907496014,39.61,12.54,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2009-12-31,1115.1,17.16,15.18,19.611326064016882,21.87757504414361,56.86,50.97,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
2010-03-31,1169.43119269817,19.38,17.48,17.68382266290897,19.193027945152963,66.13,60.92999999999999,spglobal_sp500_eps_est_xlsx_ESTIMATES_PEs_actuals
