date,sp500_pe_ttm,source
2005-01-01,19.99,multpl_sp500_pe_ratio_by_month
2005-02-01,20.11,multpl_sp500_pe_ratio_by_month
2005-03-01,19.84,multpl_sp500_pe_ratio_by_month
2005-04-01,19.02,multpl_sp500_pe_ratio_by_month
2005-05-01,18.93,multpl_sp500_pe_ratio_by_month
2005-06-01,19.0,multpl_sp500_pe_ratio_by_month
2005-07-01,19.0,multpl_sp500_pe_ratio_by_month
2005-08-01,18.72,multpl_sp500_pe_ratio_by_month
2005-09-01,18.44,multpl_sp500_pe_ratio_by_month
2005-10-01,17.64,multpl_sp500_pe_ratio_by_month
2005-11-01,18.01,multpl_sp500_pe_ratio_by_month
2005-12-01,18.07,multpl_sp500_pe_ratio_by_month
2006-01-01,18.07,multpl_sp500_pe_ratio_by_month
2006-02-01,17.8,multpl_sp500_pe_ratio_by_month
2006-03-01,17.8,multpl_sp500_pe_ratio_by_month
2006-04-01,17.77,multpl_sp500_pe_ratio_by_month
2006-05-01,17.46,multpl_sp500_pe_ratio_by_month
2006-06-01,16.82,multpl_sp500_pe_ratio_by_month
2006-07-01,16.61,multpl_sp500_pe_ratio_by_month
2006-08-01,16.67,multpl_sp500_pe_ratio_by_month
2006-09-01,16.77,multpl_sp500_pe_ratio_by_month
2006-10-01,17.14,multpl_sp500_pe_ratio_by_month
2006-11-01,17.24,multpl_sp500_pe_ratio_by_month
2006-12-01,17.38,multpl_sp500_pe_ratio_by_month
2007-01-01,17.36,multpl_sp500_pe_ratio_by_month
2007-02-01,17.49,multpl_sp500_pe_ratio_by_month
2007-03-01,16.92,multpl_sp500_pe_ratio_by_month
2007-04-01,17.48,multpl_sp500_pe_ratio_by_month
2007-05-01,17.92,multpl_sp500_pe_ratio_by_month
2007-06-01,17.83,multpl_sp500_pe_ratio_by_month
2007-07-01,18.36,multpl_sp500_pe_ratio_by_month
2007-08-01,18.02,multpl_sp500_pe_ratio_by_month
2007-09-01,19.05,multpl_sp500_pe_ratio_by_month
2007-10-01,20.68,multpl_sp500_pe_ratio_by_month
2007-11-01,20.81,multpl_sp500_pe_ratio_by_month
2007-12-01,22.35,multpl_sp500_pe_ratio_by_month
2008-01-01,21.46,multpl_sp500_pe_ratio_by_month
2008-02-01,21.74,multpl_sp500_pe_ratio_by_month
2008-03-01,21.81,multpl_sp500_pe_ratio_by_month
2008-04-01,23.88,multpl_sp500_pe_ratio_by_month
2008-05-01,25.81,multpl_sp500_pe_ratio_by_month
2008-06-01,26.11,multpl_sp500_pe_ratio_by_month
2008-07-01,25.37,multpl_sp500_pe_ratio_by_month
2008-08-01,26.83,multpl_sp500_pe_ratio_by_month
2008-09-01,26.48,multpl_sp500_pe_ratio_by_month
2008-10-01,27.22,multpl_sp500_pe_ratio_by_month
2008-11-01,34.99,multpl_sp500_pe_ratio_by_month
2008-12-01,58.98,multpl_sp500_pe_ratio_by_month
2009-01-01,70.91,multpl_sp500_pe_ratio_by_month
2009-02-01,84.46,multpl_sp500_pe_ratio_by_month
2009-03-01,110.37,multpl_sp500_pe_ratio_by_month
2009-04-01,119.85,multpl_sp500_pe_ratio_by_month
2009-05-01,123.73,multpl_sp500_pe_ratio_by_month
2009-06-01,123.32,multpl_sp500_pe_ratio_by_month
2009-07-01,101.87,multpl_sp500_pe_ratio_by_month
2009-08-01,92.95,multpl_sp500_pe_ratio_by_month
2009-09-01,83.3,multpl_sp500_pe_ratio_by_month
2009-10-01,42.12,multpl_sp500_pe_ratio_by_month
2009-11-01,28.51,multpl_sp500_pe_ratio_by_month
2009-12-01,21.78,multpl_sp500_pe_ratio_by_month
2010-01-01,20.7,multpl_sp500_pe_ratio_by_month
2010-02-01,18.91,multpl_sp500_pe_ratio_by_month
2010-03-01,18.91,multpl_sp500_pe_ratio_by_month
2010-04-01,19.01,multpl_sp500_pe_ratio_by_month
2010-05-01,17.3,multpl_sp500_pe_ratio_by_month
2010-06-01,16.15,multpl_sp500_pe_ratio_by_month
2010-07-01,15.72,multpl_sp500_pe_ratio_by_month
2010-08-01,15.47,multpl_sp500_pe_ratio_by_month
2010-09-01,15.61,multpl_sp500_pe_ratio_by_month
2010-10-01,15.9,multpl_sp500_pe_ratio_by_month
2010-11-01,15.88,multpl_sp500_pe_ratio_by_month
2010-12-01,16.05,multpl_sp500_pe_ratio_by_month
2011-01-01,16.3,multpl_sp500_pe_ratio_by_month
2011-02-01,16.52,multpl_sp500_pe_ratio_by_month
