episode_id,episode_number,episode_start,episode_end,episode_days,carry_day,omit_block_days,best_entry,best_exit,best_cagr,full_opt_cagr_without_episode,full_opt_episode_block_return,included_return_days,same_as_full_optimum,entry_shift,exit_shift,best_cagr_pct,full_opt_cagr_without_episode_pct,full_opt_episode_block_return_pct
0,1,2006-01-11,2006-01-11,1,2006-01-12,2,69.4,65.4,0.9307707846421895,0.9307707846421895,0.04490148258600657,5109,True,0.0,0.0,93.07707846421896,93.07707846421896,4.490148258600657
1,2,2006-10-04,2006-10-31,20,2006-11-01,21,69.4,65.4,0.973482813034263,0.973482813034263,-0.2942018820681722,5090,True,0.0,0.0,97.3482813034263,97.3482813034263,-29.420188206817222
2,3,2006-11-16,2006-11-24,6,2006-11-27,7,69.0,68.2,0.9201893297159744,0.9198624957945716,0.18735721570390007,5104,False,-0.4000000000000057,2.799999999999997,92.01893297159745,91.98624957945715,18.735721570390005
3,4,2006-12-15,2006-12-15,1,2006-12-18,2,69.4,65.4,0.9316935696210411,0.9316935696210411,0.03482811046777701,5109,True,0.0,0.0,93.1693569621041,93.1693569621041,3.4828110467777007
4,5,2007-04-20,2007-04-27,6,2007-04-30,7,69.4,65.4,0.9275905123779571,0.9275905123779571,0.09457419322960314,5104,True,0.0,0.0,92.7590512377957,92.7590512377957,9.457419322960314
5,6,2007-05-03,2007-05-09,5,2007-05-10,6,69.4,65.4,0.9282625544852843,0.9282625544852843,0.08404520561641471,5105,True,0.0,0.0,92.82625544852843,92.82625544852843,8.40452056164147
6,7,2009-07-23,2009-08-10,13,2009-08-11,14,69.4,65.4,0.9316622845738449,0.9316622845738449,0.06813609134626808,5097,True,0.0,0.0,93.16622845738449,93.16622845738449,6.813609134626808
7,8,2009-09-16,2009-09-22,5,2009-09-23,6,69.4,65.4,0.9311743552770992,0.9311743552770992,0.0514097557646509,5105,True,0.0,0.0,93.11743552770993,93.11743552770993,5.14097557646509
8,9,2010-03-11,2010-04-15,25,2010-04-16,26,69.4,65.4,0.9781137336758732,0.9781137336758732,-0.31766391841901775,5085,True,0.0,0.0,97.81137336758732,97.81137336758732,-31.766391841901775
9,10,2010-04-23,2010-04-26,2,2010-04-27,3,69.0,68.2,0.9169046162377359,0.9130326907635504,0.2631570582999905,5108,False,-0.4000000000000057,2.799999999999997,91.69046162377359,91.30326907635504,26.315705829999047
10,11,2010-10-13,2010-10-18,4,2010-10-19,5,69.4,65.4,0.9297180336910496,0.9297180336910496,0.06482000549131972,5106,True,0.0,0.0,92.97180336910496,92.97180336910496,6.482000549131972
11,12,2010-11-03,2010-11-11,7,2010-11-12,8,69.4,65.4,0.9397789073187373,0.9397789073187373,-0.03407634708600649,5103,True,0.0,0.0,93.97789073187373,93.97789073187373,-3.4076347086006487
12,13,2010-12-21,2011-01-18,19,2011-01-19,20,69.4,65.4,0.9626387603697297,0.9626387603697297,-0.2132209856824776,5091,True,0.0,0.0,96.26387603697297,96.26387603697297,-21.32209856824776
13,14,2011-01-26,2011-01-27,2,2011-01-28,3,69.4,65.4,0.922675013543865,0.922675013543865,0.14077065152175283,5108,True,0.0,0.0,92.26750135438651,92.26750135438651,14.077065152175283
14,15,2011-02-08,2011-02-18,9,2011-02-22,10,69.4,65.4,0.9091421676280504,0.9091421676280504,0.34023025254000183,5101,True,0.0,0.0,90.91421676280504,90.91421676280504,34.02302525400018
15,16,2012-01-25,2012-01-26,2,2012-01-27,3,69.4,65.4,0.9357204920401434,0.9357204920401434,-0.0053493421245695005,5108,True,0.0,0.0,93.57204920401433,93.57204920401433,-0.53493421245695
16,17,2012-02-03,2012-02-14,8,2012-02-15,9,69.4,65.4,0.9064204187007869,0.9064204187007869,0.37597075196387686,5102,True,0.0,0.0,90.6420418700787,90.6420418700787,37.597075196387685
17,18,2012-02-16,2012-03-02,11,2012-03-05,12,69.4,65.4,0.9546446738211174,0.9546446738211174,-0.1635841164944437,5099,True,0.0,0.0,95.46446738211174,95.46446738211174,-16.35841164944437
18,19,2012-03-13,2012-03-21,7,2012-03-22,8,69.4,65.4,0.9572507792204867,0.9572507792204867,-0.1944650281243614,5103,True,0.0,0.0,95.72507792204867,95.72507792204867,-19.44650281243614
19,20,2012-03-26,2012-03-27,2,2012-03-28,3,69.5,65.4,0.912664548532141,0.9099579409780219,0.30502134585064633,5108,False,0.09999999999999432,0.0,91.2664548532141,90.99579409780219,30.50213458506463
