dataset,vol_label,execution_timing,entry,exit,cagr,final_multiple,max_drawdown,trade_count,vol_days,start_date,end_date
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.4,66.5,1.1065874865537553,88317.92721333327,-0.729994614420382,232,411,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.4,66.6,1.1065874865537553,88317.92721333327,-0.729994614420382,232,411,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.3,67.7,1.1039220810555825,86625.19055269848,-0.7357105587826547,258,391,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.4,67.7,1.1029597458264049,86021.51995870168,-0.7357105587826548,250,382,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.4,66.7,1.1010780398439248,84852.47347421275,-0.729994614420382,232,410,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.3,67.6,1.1010161881770535,84814.30016425424,-0.7357105587826547,256,393,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.4,67.6,1.1000551821050308,84223.2492397724,-0.7357105587826547,248,384,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.4,65.4,1.098515758348055,83284.46803756357,-0.7299946144203822,222,429,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.4,65.5,1.098515758348055,83284.46803756357,-0.7299946144203822,222,429,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,69.4,65.6,1.098515758348055,83284.46803756357,-0.7299946144203822,222,429,2011-01-03,2026-04-17
