dataset,vol_label,execution_timing,entry,exit,cagr,final_multiple,max_drawdown,trade_count,vol_days,start_date,end_date
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,66.5,1.1217690957605742,98563.9904798449,-0.7276570248419358,232,411,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,66.6,1.1217690957605742,98563.9904798449,-0.7276570248419358,232,411,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,67.7,1.116497572973222,94886.57151673517,-0.7334224553725812,250,382,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.3,67.7,1.1156058056216152,94277.30205988113,-0.7334224553725812,258,391,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,66.7,1.1155793063031796,94259.25337143458,-0.7276570248419358,232,410,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,67.6,1.1135743110900438,92902.97783854818,-0.733422455372581,248,384,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,65.4,1.112849260352232,92417.02503794631,-0.7276570248419363,222,429,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,65.5,1.112849260352232,92417.02503794631,-0.7276570248419363,222,429,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,65.6,1.112849260352232,92417.02503794631,-0.7276570248419363,222,429,2011-01-03,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,69.4,65.7,1.112849260352232,92417.02503794631,-0.7276570248419363,222,429,2011-01-03,2026-04-17
