Date,UVIX_OPEN,UVIX_CLOSE,UVIX_CTO_RETURN,UVIX_OTC_RETURN,UVIX_RETURN,UVIX_CC_RETURN_REBUILT,UVIX_SOURCE,UVIX_PROXY_SOURCE
2004-01-02,,,,,,,missing,VIX
2004-01-05,,,,,,,missing,VIX
2004-01-06,,,,,,,missing,VIX
2004-01-07,,,,,,,missing,VIX
2004-01-08,,,,,,,missing,VIX
2004-01-09,,,,,,,missing,VIX
2004-01-12,,,,,,,missing,VIX
2004-01-13,,,,,,,missing,VIX
2004-01-14,,,,,,,missing,VIX
2004-01-15,,,,,,,missing,VIX
2004-01-16,,,,,,,missing,VIX
2004-01-20,,,,,,,missing,VIX
2004-01-21,,,,,,,missing,VIX
2004-01-22,,,,,,,missing,VIX
2004-01-23,,,,,,,missing,VIX
2004-01-26,,,,,,,missing,VIX
2004-01-27,,,,,,,missing,VIX
2004-01-28,,,,,,,missing,VIX
2004-01-29,,,,,,,missing,VIX
2004-01-30,,,,,,,missing,VIX
2004-02-02,,,,,,,missing,VIX
2004-02-03,,,,,,,missing,VIX
2004-02-04,,,,,,,missing,VIX
2004-02-05,,,,,,,missing,VIX
2004-02-06,,,,,,,missing,VIX
2004-02-09,,,,,,,missing,VIX
2004-02-10,,,,,,,missing,VIX
2004-02-11,,,,,,,missing,VIX
2004-02-12,,,,,,,missing,VIX
2004-02-13,,,,,,,missing,VIX
2004-02-17,,,,,,,missing,VIX
2004-02-18,,,,,,,missing,VIX
2004-02-19,,,,,,,missing,VIX
2004-02-20,,,,,,,missing,VIX
2004-02-23,,,,,,,missing,VIX
2004-02-24,,,,,,,missing,VIX
2004-02-25,,,,,,,missing,VIX
2004-02-26,,,,,,,missing,VIX
2004-02-27,,,,,,,missing,VIX
2004-03-01,,,,,,,missing,VIX
2004-03-02,,,,,,,missing,VIX
2004-03-03,,,,,,,missing,VIX
2004-03-04,,,,,,,missing,VIX
2004-03-05,,,,,,,missing,VIX
2004-03-08,,,,,,,missing,VIX
2004-03-09,,,,,,,missing,VIX
2004-03-10,,,,,,,missing,VIX
2004-03-11,,,,,,,missing,VIX
2004-03-12,,,,,,,missing,VIX
2004-03-15,,,,,,,missing,VIX
2004-03-16,,,,,,,missing,VIX
2004-03-17,,,,,,,missing,VIX
2004-03-18,,,,,,,missing,VIX
2004-03-19,,,,,,,missing,VIX
2004-03-22,,,,,,,missing,VIX
2004-03-23,,,,,,,missing,VIX
2004-03-24,,,,,,,missing,VIX
2004-03-25,,,,,,,missing,VIX
2004-03-26,,,,,,,missing,VIX
2004-03-29,,,,,,,missing,VIX
2004-03-30,,,,,,,missing,VIX
2004-03-31,,,,,,,missing,VIX
